01,02,421 Local Police,421_short,421_legend,421_innRGB,421_outRGB,422 Local Councillor,422_short,422_legend,422_innRGB,422_outRGB,423 Mayor,423_short,423_legend,423_innRGB,423_outRGB,424 Chief or Traditional Leaders,424_short,424_legend,424_innRGB,424_outRGB,425 Local,425_short,425_legend,425_innRGB,425_outRGB,426 Local Country People,426_short,426_legend,426_innRGB,426_outRGB,427 Neighbours,427_short,427_legend,427_innRGB,427_outRGB,428 Local Service Providers,428_short,428_legend,428_innRGB,428_outRGB,429 Religious Leaders,429_short,429_legend,429_innRGB,429_outRGB,430 Other religious leaders,430_short,430_legend,430_innRGB,430_outRGB,431 Business people,431_short,431_legend,431_innRGB,431_outRGB,432 Judges,432_short,432_legend,432_innRGB,432_outRGB,433 Neighbours,433_short,433_legend,433_innRGB,433_outRGB,436 Home community,436_short,436_legend,436_innRGB,436_outRGB,438 Opinions,438_short,438_legend,438_innRGB,438_outRGB,439 Closeness,439_short,439_legend,439_innRGB,439_outRGB,440 Care,440_short,440_legend,440_innRGB,440_outRGB,441 Future,441_short,441_legend,441_innRGB,441_outRGB,442 Support,442_short,442_legend,442_innRGB,442_outRGB,443 Outsider,443_short,443_legend,443_innRGB,443_outRGB
No,James Town,44,James Town,"No, in James Town (44 responses)",[0.60008693 0.67577187 0.84705882],[0.55294118 0.62745098 0.79607843],43,James Town,"No, in James Town (43 responses)",[0.60008693 0.67577187 0.84705882],[0.55294118 0.62745098 0.79607843],57,James Town,"No, in James Town (57 responses)",[0.60008693 0.67577187 0.84705882],[0.55294118 0.62745098 0.79607843],40,James Town,"No, in James Town (40 responses)",[0.60008693 0.67577187 0.84705882],[0.55294118 0.62745098 0.79607843],32,,"No, in James Town (32 responses)",[0.60008693 0.67577187 0.84705882],[0.55294118 0.62745098 0.79607843],17,,"No, in James Town (17 responses)",[0.60008693 0.67577187 0.84705882],[0.55294118 0.62745098 0.79607843],27,,"No, in James Town (27 responses)",[0.60008693 0.67577187 0.84705882],[0.55294118 0.62745098 0.79607843],5,,"No, in James Town (5 responses)",[0.60008693 0.67577187 0.84705882],[0.55294118 0.62745098 0.79607843],28,,"No, in James Town (28 responses)",[0.60008693 0.67577187 0.84705882],[0.55294118 0.62745098 0.79607843],49,James Town,"No, in James Town (49 responses)",[0.60008693 0.67577187 0.84705882],[0.55294118 0.62745098 0.79607843],19,,"No, in James Town (19 responses)",[0.60008693 0.67577187 0.84705882],[0.55294118 0.62745098 0.79607843],37,James Town,"No, in James Town (37 responses)",[0.60008693 0.67577187 0.84705882],[0.55294118 0.62745098 0.79607843],80,James Town,"No, in James Town (80 responses)",[0.60008693 0.67577187 0.84705882],[0.55294118 0.62745098 0.79607843],166,James Town,"No, in James Town (166 responses)",[0.60008693 0.67577187 0.84705882],[0.55294118 0.62745098 0.79607843],54,James Town,"No, in James Town (54 responses)",[0.60008693 0.67577187 0.84705882],[0.55294118 0.62745098 0.79607843],56,James Town,"No, in James Town (56 responses)",[0.60008693 0.67577187 0.84705882],[0.55294118 0.62745098 0.79607843],78,James Town,"No, in James Town (78 responses)",[0.60008693 0.67577187 0.84705882],[0.55294118 0.62745098 0.79607843],59,James Town,"No, in James Town (59 responses)",[0.60008693 0.67577187 0.84705882],[0.55294118 0.62745098 0.79607843],51,James Town,"No, in James Town (51 responses)",[0.60008693 0.67577187 0.84705882],[0.55294118 0.62745098 0.79607843],103,James Town,"No, in James Town (103 responses)",[0.60008693 0.67577187 0.84705882],[0.55294118 0.62745098 0.79607843]
No,Kawangware,84,Kawangware,"No, in Kawangware (84 responses)",[0.62418955 0.70029971 0.87254902],[0.55294118 0.62745098 0.79607843],101,Kawangware,"No, in Kawangware (101 responses)",[0.62418955 0.70029971 0.87254902],[0.55294118 0.62745098 0.79607843],99,Kawangware,"No, in Kawangware (99 responses)",[0.62418955 0.70029971 0.87254902],[0.55294118 0.62745098 0.79607843],55,Kawangware,"No, in Kawangware (55 responses)",[0.62418955 0.70029971 0.87254902],[0.55294118 0.62745098 0.79607843],45,Kawangware,"No, in Kawangware (45 responses)",[0.62418955 0.70029971 0.87254902],[0.55294118 0.62745098 0.79607843],29,,"No, in Kawangware (29 responses)",[0.62418955 0.70029971 0.87254902],[0.55294118 0.62745098 0.79607843],30,,"No, in Kawangware (30 responses)",[0.62418955 0.70029971 0.87254902],[0.55294118 0.62745098 0.79607843],22,,"No, in Kawangware (22 responses)",[0.62418955 0.70029971 0.87254902],[0.55294118 0.62745098 0.79607843],26,,"No, in Kawangware (26 responses)",[0.62418955 0.70029971 0.87254902],[0.55294118 0.62745098 0.79607843],44,Kawangware,"No, in Kawangware (44 responses)",[0.62418955 0.70029971 0.87254902],[0.55294118 0.62745098 0.79607843],31,,"No, in Kawangware (31 responses)",[0.62418955 0.70029971 0.87254902],[0.55294118 0.62745098 0.79607843],59,Kawangware,"No, in Kawangware (59 responses)",[0.62418955 0.70029971 0.87254902],[0.55294118 0.62745098 0.79607843],32,,"No, in Kawangware (32 responses)",[0.62418955 0.70029971 0.87254902],[0.55294118 0.62745098 0.79607843],180,Kawangware,"No, in Kawangware (180 responses)",[0.62418955 0.70029971 0.87254902],[0.55294118 0.62745098 0.79607843],29,,"No, in Kawangware (29 responses)",[0.62418955 0.70029971 0.87254902],[0.55294118 0.62745098 0.79607843],35,Kawangware,"No, in Kawangware (35 responses)",[0.62418955 0.70029971 0.87254902],[0.55294118 0.62745098 0.79607843],30,,"No, in Kawangware (30 responses)",[0.62418955 0.70029971 0.87254902],[0.55294118 0.62745098 0.79607843],48,Kawangware,"No, in Kawangware (48 responses)",[0.62418955 0.70029971 0.87254902],[0.55294118 0.62745098 0.79607843],22,,"No, in Kawangware (22 responses)",[0.62418955 0.70029971 0.87254902],[0.55294118 0.62745098 0.79607843],162,Kawangware,"No, in Kawangware (162 responses)",[0.62418955 0.70029971 0.87254902],[0.55294118 0.62745098 0.79607843]
No,Kayole,65,Kayole,"No, in Kayole (65 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],63,Kayole,"No, in Kayole (63 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],60,Kayole,"No, in Kayole (60 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],49,Kayole,"No, in Kayole (49 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],23,,"No, in Kayole (23 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],13,,"No, in Kayole (13 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],12,,"No, in Kayole (12 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],11,,"No, in Kayole (11 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],13,,"No, in Kayole (13 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],24,,"No, in Kayole (24 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],17,,"No, in Kayole (17 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],50,Kayole,"No, in Kayole (50 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],22,,"No, in Kayole (22 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],159,Kayole,"No, in Kayole (159 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],21,,"No, in Kayole (21 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],18,,"No, in Kayole (18 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],20,,"No, in Kayole (20 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],29,,"No, in Kayole (29 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],17,,"No, in Kayole (17 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],138,Kayole,"No, in Kayole (138 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843]
No,Ongata Rongai,44,Ongata Rongai,"No, in Ongata Rongai (44 responses)",[0.67345425 0.75009019 0.92352941],[0.55294118 0.62745098 0.79607843],44,Ongata Rongai,"No, in Ongata Rongai (44 responses)",[0.67345425 0.75009019 0.92352941],[0.55294118 0.62745098 0.79607843],47,Ongata Rongai,"No, in Ongata Rongai (47 responses)",[0.67345425 0.75009019 0.92352941],[0.55294118 0.62745098 0.79607843],30,,"No, in Ongata Rongai (30 responses)",[0.67345425 0.75009019 0.92352941],[0.55294118 0.62745098 0.79607843],12,,"No, in Ongata Rongai (12 responses)",[0.67345425 0.75009019 0.92352941],[0.55294118 0.62745098 0.79607843],8,,"No, in Ongata Rongai (8 responses)",[0.67345425 0.75009019 0.92352941],[0.55294118 0.62745098 0.79607843],8,,"No, in Ongata Rongai (8 responses)",[0.67345425 0.75009019 0.92352941],[0.55294118 0.62745098 0.79607843],2,,"No, in Ongata Rongai (2 responses)",[0.67345425 0.75009019 0.92352941],[0.55294118 0.62745098 0.79607843],3,,"No, in Ongata Rongai (3 responses)",[0.67345425 0.75009019 0.92352941],[0.55294118 0.62745098 0.79607843],21,,"No, in Ongata Rongai (21 responses)",[0.67345425 0.75009019 0.92352941],[0.55294118 0.62745098 0.79607843],6,,"No, in Ongata Rongai (6 responses)",[0.67345425 0.75009019 0.92352941],[0.55294118 0.62745098 0.79607843],35,Ongata Rongai,"No, in Ongata Rongai (35 responses)",[0.67345425 0.75009019 0.92352941],[0.55294118 0.62745098 0.79607843],12,,"No, in Ongata Rongai (12 responses)",[0.67345425 0.75009019 0.92352941],[0.55294118 0.62745098 0.79607843],162,Ongata Rongai,"No, in Ongata Rongai (162 responses)",[0.67345425 0.75009019 0.92352941],[0.55294118 0.62745098 0.79607843],15,,"No, in Ongata Rongai (15 responses)",[0.67345425 0.75009019 0.92352941],[0.55294118 0.62745098 0.79607843],14,,"No, in Ongata Rongai (14 responses)",[0.67345425 0.75009019 0.92352941],[0.55294118 0.62745098 0.79607843],18,,"No, in Ongata Rongai (18 responses)",[0.67345425 0.75009019 0.92352941],[0.55294118 0.62745098 0.79607843],18,,"No, in Ongata Rongai (18 responses)",[0.67345425 0.75009019 0.92352941],[0.55294118 0.62745098 0.79607843],16,,"No, in Ongata Rongai (16 responses)",[0.67345425 0.75009019 0.92352941],[0.55294118 0.62745098 0.79607843],141,Ongata Rongai,"No, in Ongata Rongai (141 responses)",[0.67345425 0.75009019 0.92352941],[0.55294118 0.62745098 0.79607843]
No,Berea,61,Berea,"No, in Berea (61 responses)",[0.69861634 0.77535283 0.94901961],[0.55294118 0.62745098 0.79607843],66,Berea,"No, in Berea (66 responses)",[0.69861634 0.77535283 0.94901961],[0.55294118 0.62745098 0.79607843],52,Berea,"No, in Berea (52 responses)",[0.69861634 0.77535283 0.94901961],[0.55294118 0.62745098 0.79607843],68,Berea,"No, in Berea (68 responses)",[0.69861634 0.77535283 0.94901961],[0.55294118 0.62745098 0.79607843],42,Berea,"No, in Berea (42 responses)",[0.69861634 0.77535283 0.94901961],[0.55294118 0.62745098 0.79607843],32,,"No, in Berea (32 responses)",[0.69861634 0.77535283 0.94901961],[0.55294118 0.62745098 0.79607843],36,Berea,"No, in Berea (36 responses)",[0.69861634 0.77535283 0.94901961],[0.55294118 0.62745098 0.79607843],23,,"No, in Berea (23 responses)",[0.69861634 0.77535283 0.94901961],[0.55294118 0.62745098 0.79607843],57,Berea,"No, in Berea (57 responses)",[0.69861634 0.77535283 0.94901961],[0.55294118 0.62745098 0.79607843],109,Berea,"No, in Berea (109 responses)",[0.69861634 0.77535283 0.94901961],[0.55294118 0.62745098 0.79607843],34,Berea,"No, in Berea (34 responses)",[0.69861634 0.77535283 0.94901961],[0.55294118 0.62745098 0.79607843],42,Berea,"No, in Berea (42 responses)",[0.69861634 0.77535283 0.94901961],[0.55294118 0.62745098 0.79607843],48,Berea,"No, in Berea (48 responses)",[0.69861634 0.77535283 0.94901961],[0.55294118 0.62745098 0.79607843],152,Berea,"No, in Berea (152 responses)",[0.69861634 0.77535283 0.94901961],[0.55294118 0.62745098 0.79607843],38,Berea,"No, in Berea (38 responses)",[0.69861634 0.77535283 0.94901961],[0.55294118 0.62745098 0.79607843],25,,"No, in Berea (25 responses)",[0.69861634 0.77535283 0.94901961],[0.55294118 0.62745098 0.79607843],33,Berea,"No, in Berea (33 responses)",[0.69861634 0.77535283 0.94901961],[0.55294118 0.62745098 0.79607843],78,Berea,"No, in Berea (78 responses)",[0.69861634 0.77535283 0.94901961],[0.55294118 0.62745098 0.79607843],50,Berea,"No, in Berea (50 responses)",[0.69861634 0.77535283 0.94901961],[0.55294118 0.62745098 0.79607843],145,Berea,"No, in Berea (145 responses)",[0.69861634 0.77535283 0.94901961],[0.55294118 0.62745098 0.79607843]
No,Katlehong,70,Katlehong,"No, in Katlehong (70 responses)",[0.72413159 0.8008604  0.9745098 ],[0.55294118 0.62745098 0.79607843],81,Katlehong,"No, in Katlehong (81 responses)",[0.72413159 0.8008604  0.9745098 ],[0.55294118 0.62745098 0.79607843],69,Katlehong,"No, in Katlehong (69 responses)",[0.72413159 0.8008604  0.9745098 ],[0.55294118 0.62745098 0.79607843],59,Katlehong,"No, in Katlehong (59 responses)",[0.72413159 0.8008604  0.9745098 ],[0.55294118 0.62745098 0.79607843],44,Katlehong,"No, in Katlehong (44 responses)",[0.72413159 0.8008604  0.9745098 ],[0.55294118 0.62745098 0.79607843],29,,"No, in Katlehong (29 responses)",[0.72413159 0.8008604  0.9745098 ],[0.55294118 0.62745098 0.79607843],43,Katlehong,"No, in Katlehong (43 responses)",[0.72413159 0.8008604  0.9745098 ],[0.55294118 0.62745098 0.79607843],28,,"No, in Katlehong (28 responses)",[0.72413159 0.8008604  0.9745098 ],[0.55294118 0.62745098 0.79607843],49,Katlehong,"No, in Katlehong (49 responses)",[0.72413159 0.8008604  0.9745098 ],[0.55294118 0.62745098 0.79607843],91,Katlehong,"No, in Katlehong (91 responses)",[0.72413159 0.8008604  0.9745098 ],[0.55294118 0.62745098 0.79607843],49,Katlehong,"No, in Katlehong (49 responses)",[0.72413159 0.8008604  0.9745098 ],[0.55294118 0.62745098 0.79607843],57,Katlehong,"No, in Katlehong (57 responses)",[0.72413159 0.8008604  0.9745098 ],[0.55294118 0.62745098 0.79607843],43,Katlehong,"No, in Katlehong (43 responses)",[0.72413159 0.8008604  0.9745098 ],[0.55294118 0.62745098 0.79607843],137,Katlehong,"No, in Katlehong (137 responses)",[0.72413159 0.8008604  0.9745098 ],[0.55294118 0.62745098 0.79607843],29,,"No, in Katlehong (29 responses)",[0.72413159 0.8008604  0.9745098 ],[0.55294118 0.62745098 0.79607843],27,,"No, in Katlehong (27 responses)",[0.72413159 0.8008604  0.9745098 ],[0.55294118 0.62745098 0.79607843],24,,"No, in Katlehong (24 responses)",[0.72413159 0.8008604  0.9745098 ],[0.55294118 0.62745098 0.79607843],55,Katlehong,"No, in Katlehong (55 responses)",[0.72413159 0.8008604  0.9745098 ],[0.55294118 0.62745098 0.79607843],18,,"No, in Katlehong (18 responses)",[0.72413159 0.8008604  0.9745098 ],[0.55294118 0.62745098 0.79607843],127,Katlehong,"No, in Katlehong (127 responses)",[0.72413159 0.8008604  0.9745098 ],[0.55294118 0.62745098 0.79607843]
No,Diepsloot,71,Diepsloot,"No, in Diepsloot (71 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],82,Diepsloot,"No, in Diepsloot (82 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],71,Diepsloot,"No, in Diepsloot (71 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],68,Diepsloot,"No, in Diepsloot (68 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],40,Diepsloot,"No, in Diepsloot (40 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],22,,"No, in Diepsloot (22 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],27,,"No, in Diepsloot (27 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],25,,"No, in Diepsloot (25 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],53,Diepsloot,"No, in Diepsloot (53 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],85,Diepsloot,"No, in Diepsloot (85 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],44,Diepsloot,"No, in Diepsloot (44 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],64,Diepsloot,"No, in Diepsloot (64 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],39,Diepsloot,"No, in Diepsloot (39 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],144,Diepsloot,"No, in Diepsloot (144 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],34,Diepsloot,"No, in Diepsloot (34 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],16,,"No, in Diepsloot (16 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],32,,"No, in Diepsloot (32 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],53,Diepsloot,"No, in Diepsloot (53 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],17,,"No, in Diepsloot (17 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],141,Diepsloot,"No, in Diepsloot (141 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843]
DK/RA,Madina,15,,"DK/RA, in Madina (15 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],24,,"DK/RA, in Madina (24 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],34,Madina,"DK/RA, in Madina (34 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],35,Madina,"DK/RA, in Madina (35 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],3,,"DK/RA, in Madina (3 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],5,,"DK/RA, in Madina (5 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],2,,"DK/RA, in Madina (2 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],5,,"DK/RA, in Madina (5 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],10,,"DK/RA, in Madina (10 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],23,,"DK/RA, in Madina (23 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],4,,"DK/RA, in Madina (4 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],35,Madina,"DK/RA, in Madina (35 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],13,,"DK/RA, in Madina (13 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],2,,"DK/RA, in Madina (2 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],1,,"DK/RA, in Madina (1 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],2,,"DK/RA, in Madina (2 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],10,,"DK/RA, in Madina (10 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],16,,"DK/RA, in Madina (16 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],8,,"DK/RA, in Madina (8 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],3,,"DK/RA, in Madina (3 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588]
DK/RA,Old Fadama,7,,"DK/RA, in Old Fadama (7 responses)",[0.91764706 0.56570856 0.7814128 ],[0.90588235 0.54117647 0.76470588],25,,"DK/RA, in Old Fadama (25 responses)",[0.91764706 0.56570856 0.7814128 ],[0.90588235 0.54117647 0.76470588],54,Old Fadama,"DK/RA, in Old Fadama (54 responses)",[0.91764706 0.56570856 0.7814128 ],[0.90588235 0.54117647 0.76470588],17,,"DK/RA, in Old Fadama (17 responses)",[0.91764706 0.56570856 0.7814128 ],[0.90588235 0.54117647 0.76470588],2,,"DK/RA, in Old Fadama (2 responses)",[0.91764706 0.56570856 0.7814128 ],[0.90588235 0.54117647 0.76470588],2,,"DK/RA, in Old Fadama (2 responses)",[0.91764706 0.56570856 0.7814128 ],[0.90588235 0.54117647 0.76470588],1,,"DK/RA, in Old Fadama (1 responses)",[0.91764706 0.56570856 0.7814128 ],[0.90588235 0.54117647 0.76470588],24,,"DK/RA, in Old Fadama (24 responses)",[0.91764706 0.56570856 0.7814128 ],[0.90588235 0.54117647 0.76470588],9,,"DK/RA, in Old Fadama (9 responses)",[0.91764706 0.56570856 0.7814128 ],[0.90588235 0.54117647 0.76470588],22,,"DK/RA, in Old Fadama (22 responses)",[0.91764706 0.56570856 0.7814128 ],[0.90588235 0.54117647 0.76470588],1,,"DK/RA, in Old Fadama (1 responses)",[0.91764706 0.56570856 0.7814128 ],[0.90588235 0.54117647 0.76470588],48,Old Fadama,"DK/RA, in Old Fadama (48 responses)",[0.91764706 0.56570856 0.7814128 ],[0.90588235 0.54117647 0.76470588],17,,"DK/RA, in Old Fadama (17 responses)",[0.91764706 0.56570856 0.7814128 ],[0.90588235 0.54117647 0.76470588],4,,"DK/RA, in Old Fadama (4 responses)",[0.91764706 0.56570856 0.7814128 ],[0.90588235 0.54117647 0.76470588],1,,"DK/RA, in Old Fadama (1 responses)",[0.91764706 0.56570856 0.7814128 ],[0.90588235 0.54117647 0.76470588],2,,"DK/RA, in Old Fadama (2 responses)",[0.91764706 0.56570856 0.7814128 ],[0.90588235 0.54117647 0.76470588],14,,"DK/RA, in Old Fadama (14 responses)",[0.91764706 0.56570856 0.7814128 ],[0.90588235 0.54117647 0.76470588],20,,"DK/RA, in Old Fadama (20 responses)",[0.91764706 0.56570856 0.7814128 ],[0.90588235 0.54117647 0.76470588],10,,"DK/RA, in Old Fadama (10 responses)",[0.91764706 0.56570856 0.7814128 ],[0.90588235 0.54117647 0.76470588],5,,"DK/RA, in Old Fadama (5 responses)",[0.91764706 0.56570856 0.7814128 ],[0.90588235 0.54117647 0.76470588]
DK/RA,James Town,1,,"DK/RA, in James Town (1 responses)",[0.92941176 0.59068946 0.79829345],[0.90588235 0.54117647 0.76470588],18,,"DK/RA, in James Town (18 responses)",[0.92941176 0.59068946 0.79829345],[0.90588235 0.54117647 0.76470588],15,,"DK/RA, in James Town (15 responses)",[0.92941176 0.59068946 0.79829345],[0.90588235 0.54117647 0.76470588],15,,"DK/RA, in James Town (15 responses)",[0.92941176 0.59068946 0.79829345],[0.90588235 0.54117647 0.76470588],4,,"DK/RA, in James Town (4 responses)",[0.92941176 0.59068946 0.79829345],[0.90588235 0.54117647 0.76470588],8,,"DK/RA, in James Town (8 responses)",[0.92941176 0.59068946 0.79829345],[0.90588235 0.54117647 0.76470588],4,,"DK/RA, in James Town (4 responses)",[0.92941176 0.59068946 0.79829345],[0.90588235 0.54117647 0.76470588],4,,"DK/RA, in James Town (4 responses)",[0.92941176 0.59068946 0.79829345],[0.90588235 0.54117647 0.76470588],4,,"DK/RA, in James Town (4 responses)",[0.92941176 0.59068946 0.79829345],[0.90588235 0.54117647 0.76470588],12,,"DK/RA, in James Town (12 responses)",[0.92941176 0.59068946 0.79829345],[0.90588235 0.54117647 0.76470588],2,,"DK/RA, in James Town (2 responses)",[0.92941176 0.59068946 0.79829345],[0.90588235 0.54117647 0.76470588],38,James Town,"DK/RA, in James Town (38 responses)",[0.92941176 0.59068946 0.79829345],[0.90588235 0.54117647 0.76470588],8,,"DK/RA, in James Town (8 responses)",[0.92941176 0.59068946 0.79829345],[0.90588235 0.54117647 0.76470588],2,,"DK/RA, in James Town (2 responses)",[0.92941176 0.59068946 0.79829345],[0.90588235 0.54117647 0.76470588],0,,"DK/RA, in James Town (0 responses)",[0.92941176 0.59068946 0.79829345],[0.90588235 0.54117647 0.76470588],2,,"DK/RA, in James Town (2 responses)",[0.92941176 0.59068946 0.79829345],[0.90588235 0.54117647 0.76470588],9,,"DK/RA, in James Town (9 responses)",[0.92941176 0.59068946 0.79829345],[0.90588235 0.54117647 0.76470588],5,,"DK/RA, in James Town (5 responses)",[0.92941176 0.59068946 0.79829345],[0.90588235 0.54117647 0.76470588],7,,"DK/RA, in James Town (7 responses)",[0.92941176 0.59068946 0.79829345],[0.90588235 0.54117647 0.76470588],3,,"DK/RA, in James Town (3 responses)",[0.92941176 0.59068946 0.79829345],[0.90588235 0.54117647 0.76470588]
DK/RA,Kawangware,13,,"DK/RA, in Kawangware (13 responses)",[0.94117647 0.61611917 0.81534784],[0.90588235 0.54117647 0.76470588],19,,"DK/RA, in Kawangware (19 responses)",[0.94117647 0.61611917 0.81534784],[0.90588235 0.54117647 0.76470588],26,,"DK/RA, in Kawangware (26 responses)",[0.94117647 0.61611917 0.81534784],[0.90588235 0.54117647 0.76470588],14,,"DK/RA, in Kawangware (14 responses)",[0.94117647 0.61611917 0.81534784],[0.90588235 0.54117647 0.76470588],13,,"DK/RA, in Kawangware (13 responses)",[0.94117647 0.61611917 0.81534784],[0.90588235 0.54117647 0.76470588],14,,"DK/RA, in Kawangware (14 responses)",[0.94117647 0.61611917 0.81534784],[0.90588235 0.54117647 0.76470588],11,,"DK/RA, in Kawangware (11 responses)",[0.94117647 0.61611917 0.81534784],[0.90588235 0.54117647 0.76470588],11,,"DK/RA, in Kawangware (11 responses)",[0.94117647 0.61611917 0.81534784],[0.90588235 0.54117647 0.76470588],21,,"DK/RA, in Kawangware (21 responses)",[0.94117647 0.61611917 0.81534784],[0.90588235 0.54117647 0.76470588],23,,"DK/RA, in Kawangware (23 responses)",[0.94117647 0.61611917 0.81534784],[0.90588235 0.54117647 0.76470588],11,,"DK/RA, in Kawangware (11 responses)",[0.94117647 0.61611917 0.81534784],[0.90588235 0.54117647 0.76470588],24,,"DK/RA, in Kawangware (24 responses)",[0.94117647 0.61611917 0.81534784],[0.90588235 0.54117647 0.76470588],25,,"DK/RA, in Kawangware (25 responses)",[0.94117647 0.61611917 0.81534784],[0.90588235 0.54117647 0.76470588],10,,"DK/RA, in Kawangware (10 responses)",[0.94117647 0.61611917 0.81534784],[0.90588235 0.54117647 0.76470588],9,,"DK/RA, in Kawangware (9 responses)",[0.94117647 0.61611917 0.81534784],[0.90588235 0.54117647 0.76470588],13,,"DK/RA, in Kawangware (13 responses)",[0.94117647 0.61611917 0.81534784],[0.90588235 0.54117647 0.76470588],21,,"DK/RA, in Kawangware (21 responses)",[0.94117647 0.61611917 0.81534784],[0.90588235 0.54117647 0.76470588],31,,"DK/RA, in Kawangware (31 responses)",[0.94117647 0.61611917 0.81534784],[0.90588235 0.54117647 0.76470588],16,,"DK/RA, in Kawangware (16 responses)",[0.94117647 0.61611917 0.81534784],[0.90588235 0.54117647 0.76470588],13,,"DK/RA, in Kawangware (13 responses)",[0.94117647 0.61611917 0.81534784],[0.90588235 0.54117647 0.76470588]
