location,dist,azimuth,location_type,city_8,orig_country_103
"('Aburi', 'Aburi', 'Ghana')",34.91213309842991,1.4594147929166483,2,Accra,Ghana
"('Dlamini', 'Soweto', 'South Africa')",36.66956860476346,-1.978747363502392,1,Johannesburg,South Africa
"('Brits', 'Brits', 'South Africa')",38.847842607839546,2.27176464340548,2,Johannesburg,South Africa
"('nan', 'Natalspruit', 'South Africa')",39.62162114103041,-1.1592116870598839,1,Johannesburg,South Africa
"('Randfontein', 'Randfontein', 'South Africa')",39.81091515081241,3.12025521314259,1,Johannesburg,South Africa
"(""Murang'A"", ""Murang'A"", 'Kenya')",39.955533638380565,1.321833783295082,4,Nairobi,Kenya
"('Bawjiase', 'Bawjiase', 'Ghana')",41.63278325071279,2.734911256104147,1,Accra,Ghana
"('Springs', 'Delmas', 'South Africa')",42.35114375686261,-0.14119103836192204,1,Johannesburg,South Africa
"('Katlehong', 'Hamanskraal', 'South Africa')",42.98804393286708,-1.1984386277754087,1,Johannesburg,South Africa
"('Betom', 'Koforidua', 'Ghana')",45.119795976750076,1.7848886007022795,1,Accra,Ghana
"('Mamelodi', 'Kwamhlanga', 'South Africa')",46.14909102751692,0.47455098990017247,1,Johannesburg,South Africa
"('Koforidua', 'Koforidua', 'Ghana')",47.21986671610261,1.7921498875227388,12,Accra,Ghana
"('Aboabo', 'Aboabo', 'Ghana')",48.67128074755284,1.724399670312533,1,Accra,Ghana
"('Murang""A', 'Murang`a', 'Kenya')",48.80265867253468,0.9548640112807334,1,Nairobi,Kenya
"('Winneba', 'Winneba', 'Ghana')",49.925771457373415,-2.7146210030775912,2,Accra,Ghana
"('Akropong', 'Akropong', 'Ghana')",50.21864327468764,1.30067574649223,1,Accra,Ghana
"('nan', 'Kangema', 'Kenya')",52.03895730738191,1.466702241493541,1,Nairobi,Kenya
"('Kangema', 'Kangema', 'Kenya')",52.03895730738191,1.466702241493541,1,Nairobi,Kenya
"('Agona Swedru', 'Agona Swedru', 'Ghana')",54.22579116188611,-3.13883661364552,1,Accra,Ghana
"('Westonaria', 'Westernaria', 'South Africa')",55.35459011037094,3.104446002720618,1,Johannesburg,South Africa
"('nan', 'Kiriani', 'Kenya')",55.47180477343189,1.0620393448940713,1,Nairobi,Kenya
"('Ga-Rankuwa', 'Ga-Rankuwa', 'South Africa')",57.0920949427548,1.6618399408225255,1,Johannesburg,South Africa
"('Kinangop', 'Kinangop', 'Kenya')",57.292852397929735,2.111333826325069,2,Nairobi,Kenya
"('Pretoria', 'Pretoria', 'South Africa')",58.34789330208944,1.4983392200346266,3,Johannesburg,South Africa
"('Mamelodi', 'Tshwane', 'South Africa')",58.42558069809099,0.8986008570395186,1,Johannesburg,South Africa
"('Suhum', 'Suhum', 'Ghana')",61.90613826182592,2.0235808187626714,2,Accra,Ghana
"('Nkurakan', 'Nkurakan', 'Ghana')",64.29945205512082,1.553889054443361,1,Accra,Ghana
"('Tawa', 'Tawa', 'Kenya')",66.00796305682059,-0.3904961664365571,1,Nairobi,Kenya
"('Atimpoku', 'Atimpoku', 'Ghana')",66.657327669014,1.1284575712265021,1,Accra,Ghana
"('Muranga', 'Muranga', 'Kenya')",66.86698308601385,0.8286505396261742,5,Nairobi,Kenya
"('Somanya', 'Somanya', 'Ghana')",66.9316675317,1.2418785452394814,3,Accra,Ghana
"('Ekalakala', 'Ekalakala', 'Kenya')",68.95710605687995,0.31265558156603235,1,Nairobi,Kenya
"('Naivasha', 'Naivasha', 'Kenya')",69.5725848363709,2.0904277531612796,1,Nairobi,Kenya
"('Salama', 'Salama', 'Kenya')",69.76976111360614,-0.6172566849513988,1,Nairobi,Kenya
"('Machakos', 'Machakos', 'Kenya')",71.4290855789395,-0.0006713596871269718,18,Nairobi,Kenya
"('Karatina', 'Karatina', 'Kenya')",73.47283947420144,1.2466522004140437,1,Nairobi,Kenya
"('Kilome', 'Kilome', 'Kenya')",73.84793369095294,-0.5062119945673055,1,Nairobi,Kenya
"('Sagana', 'Sagana', 'Kenya')",74.3977913781704,0.8185200840548847,1,Nairobi,Kenya
"('Bunso', 'Bunso', 'Ghana')",74.58635774999445,2.0291021849772997,1,Accra,Ghana
"(""Murang'A Town"", ""Murang'A Town"", 'Kenya')",74.90852372752848,0.9227044314961421,1,Nairobi,Kenya
