,city_8,location,num_moves,dist,azimuth,lat,lon,location_pair,location_pair_id,locations,country,loc2,loc1
227,Nairobi,"('nan', 'Nyandarua', 'Kenya')",1,94.1671460663418,1.8698415076572021,36.49776838093413,-0.39155345,"('Nairobi', ('nan', 'Nyandarua', 'Kenya'))",113,"('nan', 'Nyandarua', 'Kenya')",Kenya,Nyandarua,nan
228,Nairobi,"('nan', 'Sironko', 'Uganda')",1,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('nan', 'Sironko', 'Uganda'))",114,Nairobi,Uganda,Sironko,nan
229,Nairobi,"('nan', 'Sironko', 'Uganda')",1,352.37378431694475,2.4410690195368083,34.297734887865296,1.1883856000000002,"('Nairobi', ('nan', 'Sironko', 'Uganda'))",114,"('nan', 'Sironko', 'Uganda')",Uganda,Sironko,nan
230,Johannesburg,"('Johannesburg', 'Johannesburg', 'South Africa')",14,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Johannesburg', 'Johannesburg', 'South Africa'))",115,Johannesburg,South Africa,Johannesburg,Johannesburg
231,Johannesburg,"('Johannesburg', 'Johannesburg', 'South Africa')",14,27.295223745866362,-1.4101209171402702,28.049721999999996,-26.205,"('Johannesburg', ('Johannesburg', 'Johannesburg', 'South Africa'))",115,"('Johannesburg', 'Johannesburg', 'South Africa')",South Africa,Johannesburg,Johannesburg
232,Johannesburg,"('Bulawayo', 'Bulawayo', 'Zimbabwe')",7,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Bulawayo', 'Bulawayo', 'Zimbabwe'))",116,Johannesburg,Zimbabwe,Bulawayo,Bulawayo
233,Johannesburg,"('Bulawayo', 'Bulawayo', 'Zimbabwe')",7,570.003710098564,1.4343560163887097,28.588706300000002,-20.1560599,"('Johannesburg', ('Bulawayo', 'Bulawayo', 'Zimbabwe'))",116,"('Bulawayo', 'Bulawayo', 'Zimbabwe')",Zimbabwe,Bulawayo,Bulawayo
234,Johannesburg,"('Thohoyandou', 'Thohoyandou', 'South Africa')",7,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Thohoyandou', 'Thohoyandou', 'South Africa'))",117,Johannesburg,South Africa,Thohoyandou,Thohoyandou
235,Johannesburg,"('Thohoyandou', 'Thohoyandou', 'South Africa')",7,395.7924487494866,0.8026271680334368,30.4596582,-22.967642899999998,"('Johannesburg', ('Thohoyandou', 'Thohoyandou', 'South Africa'))",117,"('Thohoyandou', 'Thohoyandou', 'South Africa')",South Africa,Thohoyandou,Thohoyandou
236,Johannesburg,"('Maputo', 'Maputo', 'Mozambique')",6,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Maputo', 'Maputo', 'Mozambique'))",118,Johannesburg,Mozambique,Maputo,Maputo
237,Johannesburg,"('Maputo', 'Maputo', 'Mozambique')",6,490.89592877639916,0.07136902194120785,32.56745,-25.966213,"('Johannesburg', ('Maputo', 'Maputo', 'Mozambique'))",118,"('Maputo', 'Maputo', 'Mozambique')",Mozambique,Maputo,Maputo
238,Johannesburg,"('Durban', 'Durban', 'South Africa')",4,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Durban', 'Durban', 'South Africa'))",119,Johannesburg,South Africa,Durban,Durban
239,Johannesburg,"('Durban', 'Durban', 'South Africa')",4,465.7122299574346,-0.8075893573286347,31.009909000000004,-29.861825,"('Johannesburg', ('Durban', 'Durban', 'South Africa'))",119,"('Durban', 'Durban', 'South Africa')",South Africa,Durban,Durban
240,Johannesburg,"('Harare', 'Harare', 'Zimbabwe')",4,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Harare', 'Harare', 'Zimbabwe'))",120,Johannesburg,Zimbabwe,Harare,Harare
241,Johannesburg,"('Harare', 'Harare', 'Zimbabwe')",4,884.002749883642,1.1634373897129693,31.045686,-17.831773000000002,"('Johannesburg', ('Harare', 'Harare', 'Zimbabwe'))",120,"('Harare', 'Harare', 'Zimbabwe')",Zimbabwe,Harare,Harare
242,Johannesburg,"('Kinshasa', 'Kinshasa', 'Democratic Republic of the Congo')",4,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Kinshasa', 'Kinshasa', 'Democratic Republic of the Congo'))",121,Johannesburg,Democratic Republic of the Congo,Kinshasa,Kinshasa
243,Johannesburg,"('Kinshasa', 'Kinshasa', 'Democratic Republic of the Congo')",4,2658.708601496401,2.0502893894228187,15.312597400000001,-4.3217055,"('Johannesburg', ('Kinshasa', 'Kinshasa', 'Democratic Republic of the Congo'))",121,"('Kinshasa', 'Kinshasa', 'Democratic Republic of the Congo')",Democratic Republic of the Congo,Kinshasa,Kinshasa
244,Johannesburg,"('Polokwane', 'Polokwane', 'South Africa')",4,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Polokwane', 'Polokwane', 'South Africa'))",122,Johannesburg,South Africa,Polokwane,Polokwane
245,Johannesburg,"('Polokwane', 'Polokwane', 'South Africa')",4,254.92029542832947,0.8798581122642302,29.461388899999996,-23.9058333,"('Johannesburg', ('Polokwane', 'Polokwane', 'South Africa'))",122,"('Polokwane', 'Polokwane', 'South Africa')",South Africa,Polokwane,Polokwane
246,Johannesburg,"(' Fourways', ' Fourways', 'South Africa')",3,0.01,0.0,28.04978,-26.180942,"('Johannesburg', (' Fourways', ' Fourways', 'South Africa'))",123,Johannesburg,South Africa, Fourways, Fourways
247,Johannesburg,"(' Fourways', ' Fourways', 'South Africa')",3,7.320956784990286,-1.6721118402375497,28.003888899999996,-26.005,"('Johannesburg', (' Fourways', ' Fourways', 'South Africa'))",123,"(' Fourways', ' Fourways', 'South Africa')",South Africa, Fourways, Fourways
248,Johannesburg,"('Germiston', 'Germiston', 'South Africa')",3,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Germiston', 'Germiston', 'South Africa'))",124,Johannesburg,South Africa,Germiston,Germiston
