,respondentID,birthyear,age,distance_from_origin_location_km,location_name_D,location_latlon_D,location_name_O,location_latlon_O,index_O,name_O,index_D,name_D,count,location_tuple_O,location_tuple_D,location_O1,location_O2,location_O3,location_D1,location_D2,location_D3,location_O32,location_D32,location_O321,location_D321,i_O321,i_O1,i_O2,i_O3,i_D321,i_D1,i_D2,i_D3,color
20,284532,1975,46,924.3202651151736,"('Old Fadama', 'Accra', 'Ghana')","(5.5488671, -0.22252159999999999)","('Effium', 'Abakaliki', 'Nigeria')","(6.630811099999999, 8.0575522)",20,"Effium, Abakaliki, Nigeria",241,"Old Fadama, Accra, Ghana",1,"('Effium', 'Abakaliki', 'Nigeria')","('Old Fadama', 'Accra', 'Ghana')",Effium,Abakaliki,Nigeria,Old Fadama,Accra,Ghana,Nigeria > Abakaliki,Ghana > Accra,Nigeria > Abakaliki > Effium,Ghana > Accra > Old Fadama,174,186,12,8,38,271,18,3,"rgba(40,111,52, 0.8)"
21,284084,1981,40,924.1015792650504,"('Madina', 'Accra', 'Ghana')","(5.6864962, -0.16770520000000003)","('Abuja', 'Abuja', 'Nigeria')","(9.064330499999999, 7.4892974)",21,"Abuja, Abuja, Nigeria",240,"Madina, Accra, Ghana",1,"('Abuja', 'Abuja', 'Nigeria')","('Madina', 'Accra', 'Ghana')",Abuja,Abuja,Nigeria,Madina,Accra,Ghana,Nigeria > Abuja,Ghana > Accra,Nigeria > Abuja > Abuja,Ghana > Accra > Madina,177,16,16,8,34,238,18,3,"rgba(40,111,52, 0.8)"
22,286696,1983,38,918.5438963579212,"('Old Fadama', 'Accra', 'Ghana')","(5.5488671, -0.22252159999999999)","('Niamey', 'Niamey', 'Niger')","(13.524834, 2.109823)",22,"Niamey, Niamey, Niger",241,"Old Fadama, Accra, Ghana",1,"('Niamey', 'Niamey', 'Niger')","('Old Fadama', 'Accra', 'Ghana')",Niamey,Niamey,Niger,Old Fadama,Accra,Ghana,Niger > Niamey,Ghana > Accra,Niger > Niamey > Niamey,Ghana > Accra > Old Fadama,168,76,76,7,38,271,18,3,"rgba(77,103,23, 0.8)"
23,283444,1980,41,914.8036784472145,"('James Town', 'Accra', 'Ghana')","(5.535796599999999, -0.21036370000000001)","('Harobanda', 'Niamey', 'Niger')","(13.492856900000001, 2.06465)",23,"Harobanda, Niamey, Niger",242,"James Town, Accra, Ghana",1,"('Harobanda', 'Niamey', 'Niger')","('James Town', 'Accra', 'Ghana')",Harobanda,Niamey,Niger,James Town,Accra,Ghana,Niger > Niamey,Ghana > Accra,Niger > Niamey > Harobanda,Ghana > Accra > James Town,166,199,76,7,29,209,18,3,"rgba(77,103,23, 0.8)"
24,289558,1989,32,906.712004825942,"('James Town', 'Accra', 'Ghana')","(5.535796599999999, -0.21036370000000001)","('Kollo', 'Niamey', 'Niger')","(13.340935, 2.316011)",24,"Kollo, Niamey, Niger",242,"James Town, Accra, Ghana",1,"('Kollo', 'Niamey', 'Niger')","('James Town', 'Accra', 'Ghana')",Kollo,Niamey,Niger,James Town,Accra,Ghana,Niger > Niamey,Ghana > Accra,Niger > Niamey > Kollo,Ghana > Accra > James Town,167,221,76,7,29,209,18,3,"rgba(77,103,23, 0.8)"
25,285092,1965,56,905.7439454086724,"('Old Fadama', 'Accra', 'Ghana')","(5.5488671, -0.22252159999999999)","('Kollo', 'Niamey', 'Niger')","(13.340935, 2.316011)",24,"Kollo, Niamey, Niger",241,"Old Fadama, Accra, Ghana",1,"('Kollo', 'Niamey', 'Niger')","('Old Fadama', 'Accra', 'Ghana')",Kollo,Niamey,Niger,Old Fadama,Accra,Ghana,Niger > Niamey,Ghana > Accra,Niger > Niamey > Kollo,Ghana > Accra > Old Fadama,167,221,76,7,38,271,18,3,"rgba(77,103,23, 0.8)"
26,290683,1984,37,901.3521671581432,"('Old Fadama', 'Accra', 'Ghana')","(5.5488671, -0.22252159999999999)","('Kuje', 'Abuga', 'Nigeria')","(8.879631199999999, 7.2272022)",25,"Kuje, Abuga, Nigeria",241,"Old Fadama, Accra, Ghana",1,"('Kuje', 'Abuga', 'Nigeria')","('Old Fadama', 'Accra', 'Ghana')",Kuje,Abuga,Nigeria,Old Fadama,Accra,Ghana,Nigeria > Abuga,Ghana > Accra,Nigeria > Abuga > Kuje,Ghana > Accra > Old Fadama,176,229,15,8,38,271,18,3,"rgba(40,111,52, 0.8)"
27,287650,2000,21,876.3373204603646,"('James Town', 'Accra', 'Ghana')","(5.535796599999999, -0.21036370000000001)","('Bagala', 'Nouna', 'Burkina Faso')","(12.5970239, -3.8286117999999996)",26,"Bagala, Nouna, Burkina Faso",242,"James Town, Accra, Ghana",1,"('Bagala', 'Nouna', 'Burkina Faso')","('James Town', 'Accra', 'Ghana')",Bagala,Nouna,Burkina Faso,James Town,Accra,Ghana,Burkina Faso > Nouna,Ghana > Accra,Burkina Faso > Nouna > Bagala,Ghana > Accra > James Town,12,155,79,1,29,209,18,3,"rgba(65,59,32, 0.8)"
28,284481,1981,40,865.1423740887398,"('James Town', 'Accra', 'Ghana')","(5.535796599999999, -0.21036370000000001)","('Nike', 'Enugu', 'Nigeria')","(6.5610775, 7.537325579826742)",27,"Nike, Enugu, Nigeria",242,"James Town, Accra, Ghana",1,"('Nike', 'Enugu', 'Nigeria')","('James Town', 'Accra', 'Ghana')",Nike,Enugu,Nigeria,James Town,Accra,Ghana,Nigeria > Enugu,Ghana > Accra,Nigeria > Enugu > Nike,Ghana > Accra > James Town,193,250,49,8,29,209,18,3,"rgba(40,111,52, 0.8)"
29,289539,1994,27,859.7609149234112,"('James Town', 'Accra', 'Ghana')","(5.535796599999999, -0.21036370000000001)","('Ogui', 'Enugu', 'Nigeria')","(6.4469155, 7.501773011412662)",28,"Ogui, Enugu, Nigeria",242,"James Town, Accra, Ghana",1,"('Ogui', 'Enugu', 'Nigeria')","('James Town', 'Accra', 'Ghana')",Ogui,Enugu,Nigeria,James Town,Accra,Ghana,Nigeria > Enugu,Ghana > Accra,Nigeria > Enugu > Ogui,Ghana > Accra > James Town,195,266,49,8,29,209,18,3,"rgba(40,111,52, 0.8)"
