Q100_1,Q100_1_URX,Q100_1_URUN,Q100_1_URACMS,Q100_1_URXc,Non-Urban City,Non-Urban Town,Non-Urban Village,Unclassified City,Unclassified Town,Unclassified Village,Urban City,Urban Town,Urban Village
"('Takoradi', 'Takoradi', 'Ghana')",Unclassified Town,Unclassified,Town,7,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
"('Legon', 'Legon', 'Ghana')",Urban Town,Urban,Town,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
"('Homa Bay', 'Homa Bay', 'Kenya')",Non-Urban Village,Non-Urban,Village,7,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Ho', 'Ho', 'Ghana')",Urban Town,Urban,Town,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
"('Kumasi', 'Kumasi', 'Ghana')",Urban Town,Urban,Town,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0
"('Bujumbura', 'Bujumbura', 'Burundi')",Urban Town,Urban,Town,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0
"('Kinshasa', 'Kinshasa', 'Democratic Republic of the Congo')",Urban Village,Urban,Village,6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,6.0
"('Maseru', 'Maseru', 'Lesotho')",Urban Village,Urban,Village,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0
"('Porto-Novo', 'Porto-Novo', 'Benin')",Urban Town,Urban,Town,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
"('Makueni', 'Makueni', 'Kenya')",Non-Urban Village,Non-Urban,Village,5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Makhado', 'Makhado', 'South Africa')",Urban Village,Urban,Village,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
"('Kaneshie', 'Kaneshie', 'Ghana')",Urban Town,Urban,Town,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
"('Thokoza', 'Thokoza', 'South Africa')",Urban City,Urban,City,5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
"('Harare', 'Harare', 'Zimbabwe')",Urban Town,Urban,Town,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0
"('Addis Ababa', 'Addis Ababa', 'Ethiopia')",Urban Town,Urban,Town,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0
"('Kampala', 'Kampala', 'Uganda')",Urban Town,Urban,Town,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0
"('Nakuru', 'Nakuru', 'Kenya')",Urban Village,Urban,Village,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
"('Kiambu', 'Kiambu', 'Kenya')",Urban Village,Urban,Village,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
"('Bungoma', 'Bungoma', 'Kenya')",Urban Village,Urban,Village,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0
"('Sandton', 'Sandton', 'South Africa')",Urban Town,Urban,Town,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
"('Louis Trichardt', 'Louis Trichardt', 'South Africa')",Urban Village,Urban,Village,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
"('Juba', 'Juba', 'South Sudan')",Non-Urban Village,Non-Urban,Village,4,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Jamestown', 'Jamestown', 'Ghana')",Urban City,Urban,City,4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
"(""Murang'A"", ""Murang'A"", 'Kenya')",Unclassified Village,Unclassified,Village,4,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
"('Blantyre', 'Blantyre', 'Malawi')",Urban Village,Urban,Village,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
"('Abidjan', 'Abidjan', ""Côte d'Ivoire"")",Unclassified Town,Unclassified,Town,4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
"('Oyugis', 'Oyugis', 'Kenya')",Urban Village,Urban,Village,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
"('Tema', 'Tema', 'Ghana')",Urban Town,Urban,Town,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
"('Nkawkaw', 'Nkawkaw', 'Ghana')",Non-Urban Town,Non-Urban,Town,4,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Nelspruit', 'Nelspruit', 'South Africa')",Urban Village,Urban,Village,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
"('Wa', 'Wa', 'Ghana')",Non-Urban Town,Non-Urban,Town,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Gushiegu', 'Gushiegu', 'Ghana')",Non-Urban Town,Non-Urban,Town,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Arusha', 'Arusha', 'Tanzania')",Non-Urban Village,Non-Urban,Village,3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Wote', 'Wote', 'Kenya')",Urban Town,Urban,Town,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
"('Randburg', 'Randburg', 'South Africa')",Urban Town,Urban,Town,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
"('Durban', 'Durban', 'South Africa')",Urban Town,Urban,Town,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
"('Limete', 'Kinshasa', 'Democratic Republic of the Congo')",Urban City,Urban,City,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
"('Sekondi', 'Sekondi', 'Ghana')",Urban Town,Urban,Town,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
"('Anambra', 'Anambra', 'Nigeria')",Urban Town,Urban,Town,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
"('Kano', 'Kano', 'Nigeria')",Urban Town,Urban,Town,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
"('Kpandai', 'Kpandai', 'Ghana')",Non-Urban Town,Non-Urban,Town,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Sokode', 'Sokode', 'Togo')",Non-Urban Village,Non-Urban,Village,3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Korle Gonno', 'Korle Gonno', 'Ghana')",Urban Town,Urban,Town,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
"('Somanya', 'Somanya', 'Ghana')",Non-Urban Town,Non-Urban,Town,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Akim Oda', 'Akim Oda', 'Ghana')",Urban Town,Urban,Town,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
"('Kitale', 'Kitale', 'Kenya')",Urban Town,Urban,Town,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
"('Kajiado', 'Kajiado', 'Kenya')",Non-Urban Village,Non-Urban,Village,3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Matatiele', 'Matatiele', 'South Africa')",Urban Village,Urban,Village,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
"('Goma', 'Goma', 'Democratic Republic of the Congo')",Urban Village,Urban,Village,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
"('Embu', 'Embu', 'Kenya')",Non-Urban Village,Non-Urban,Village,3,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Berea', 'Berea', 'South Africa')",Urban City,Urban,City,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
"('Muranga', 'Muranga', 'Kenya')",Urban Town,Urban,Town,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
"('Meru', 'Meru', 'Kenya')",Urban Village,Urban,Village,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
"('Mzuzu', 'Mzuzu', 'Malawi')",Urban Village,Urban,Village,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
"('Ongata Rongai', 'Nairobi', 'Kenya')",Urban City,Urban,City,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
"('Ouagadougou', 'Ouagadougou', 'Burkina Faso')",Urban Town,Urban,Town,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
"('Nqutu', 'Nqutu', 'South Africa')",Urban Village,Urban,Village,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
"('nan', 'Msinga', 'South Africa')",Non-Urban Village,Non-Urban,Village,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Kempton Park', 'Kempton Park', 'South Africa')",Urban Town,Urban,Town,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
"('Kinangop', 'Kinangop', 'Kenya')",Non-Urban Village,Non-Urban,Village,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
"('nan', 'Minembwe', 'Democratic Republic of the Congo')",Non-Urban Village,Non-Urban,Village,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Tzaneen', 'Tzaneen', 'South Africa')",Urban Town,Urban,Town,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
"('Khongoloti', 'Maputo', 'Mozambique')",Urban City,Urban,City,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
"('Thika', 'Thika', 'Kenya')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
"('Keta', 'Keta', 'Ghana')",Non-Urban Town,Non-Urban,Town,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Johannesburg', 'Berea', 'South Africa')",Urban City,Urban,City,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
"('Vryheid', 'Vryheid', 'South Africa')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
"('Hillbrow', 'Berea', 'South Africa')",Urban City,Urban,City,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
"('Yendi', 'Yendi', 'Ghana')",Non-Urban Town,Non-Urban,Town,2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
"('nan', 'KwaZulu-Natal', 'South Africa')",Non-Urban Village,Non-Urban,Village,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Hohoe', 'Hohoe', 'Ghana')",Urban Town,Urban,Town,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
"('nan', 'Cheshegu', 'Ghana')",Non-Urban Village,Non-Urban,Village,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Winneba', 'Winneba', 'Ghana')",Urban Town,Urban,Town,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
"('Ilorin', 'Ilorin', 'Nigeria')",Urban Town,Urban,Town,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
"('Xai-Xai', 'Xai-Xai', 'Mozambique')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
"('Kirinyaga', 'Kirinyaga', 'Kenya')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
"('Kaneshie', 'Old Fadama', 'Ghana')",Urban City,Urban,City,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
"('Nkandla', 'Nkandla', 'South Africa')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
"('Techiman', 'Techiman', 'Ghana')",Non-Urban Town,Non-Urban,Town,2,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Pietermaritzburg', 'Pietermaritzburg', 'South Africa')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
"('Malamulele', 'Malamulele', 'South Africa')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
"('Old Fadama', 'Old Fadama', 'Ghana')",Urban City,Urban,City,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
"('Nyeri', 'Nyeri', 'Kenya')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
"('Migori Town', 'Migori Town', 'Kenya')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
"('Mombasa', 'Mombasa', 'Kenya')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
"('Mpraeso', 'Mpraeso', 'Ghana')",Non-Urban Town,Non-Urban,Town,2,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Mumias', 'Mumias', 'Kenya')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
"('Mzimba', 'Mzimba', 'Malawi')",Non-Urban Village,Non-Urban,Village,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Nsawam', 'Nsawam', 'Ghana')",Non-Urban Town,Non-Urban,Town,2,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Namaingo', 'Namaingo', 'Uganda')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
"('Ngozi', 'Ngozi', 'Burundi')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
"('Mafikeng', 'Mafikeng', 'South Africa')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
"('Pietersburg', 'Pietersburg', 'South Africa')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
"('Kpassa', 'Kpassa', 'Ghana')",Non-Urban Town,Non-Urban,Town,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Suhum', 'Suhum', 'Ghana')",Non-Urban Town,Non-Urban,Town,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Kpalime', 'Kpalime', 'Togo')",Urban City,Urban,City,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0
"('Kpando', 'Kpando', 'Ghana')",Non-Urban Town,Non-Urban,Town,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Nima', 'Nima', 'Ghana')",Urban Town,Urban,Town,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
"('Lusaka', 'Lusaka', 'Zambia')",Urban City,Urban,City,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
"('Kranskop', 'Kranskop', 'South Africa')",Non-Urban Village,Non-Urban,Village,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Kwekwe', 'Kwekwe', 'Zimbabwe')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
"('Aburi', 'Aburi', 'Ghana')",Non-Urban Town,Non-Urban,Town,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Sakhile', 'Katlehong', 'South Africa')",Urban City,Urban,City,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
"('Pretoria', 'Pretoria', 'South Africa')",Urban Town,Urban,Town,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
"('Germiston', 'Katlehong', 'South Africa')",Urban City,Urban,City,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
"('Eldoret', 'Eldoret', 'Kenya')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
"('Bimbilla', 'Bimbila', 'Ghana')",Non-Urban Town,Non-Urban,Town,2,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Aflao', 'Aflao', 'Ghana')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
"('Bamako', 'Bamako', 'Mali')",Urban City,Urban,City,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
"('Awendo', 'Awendo', 'Kenya')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
"('Bushbuckridge', 'Bushbuckridge', 'South Africa')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
"('Agadez', 'Agadez', 'Niger')",Non-Urban Town,Non-Urban,Town,2,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Bumala', 'Bumala', 'Kenya')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
"('Bondo', 'Bondo', 'Kenya')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
"('Chokwe', 'Chokwe', 'Mozambique')",Non-Urban Town,Non-Urban,Town,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Ebonyi', 'Ebonyi', 'Nigeria')",Urban Town,Urban,Town,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
"('Riverside', 'Riverside', 'South Africa')",Urban City,Urban,City,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"('Rustenburg', 'Rustenburg', 'South Africa')",Urban Village,Urban,Village,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('Sabatia', 'Sabatia', 'Kenya')",Urban Village,Urban,Village,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('Runsternburg', 'Tlhabane', 'South Africa')",Urban City,Urban,City,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"('Sagana', 'Sagana', 'Kenya')",Urban Village,Urban,Village,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('Sakele', 'Katlehong', 'South Africa')",Urban City,Urban,City,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"('Anloga', 'Anloga', 'Ghana')",Non-Urban Village,Non-Urban,Village,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Salama', 'Salama', 'Kenya')",Non-Urban Town,Non-Urban,Town,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Saltpond', 'Cape Coast', 'Ghana')",Urban Village,Urban,Village,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('Rongo', 'Rongo', 'Kenya')",Urban Village,Urban,Village,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('Anyinam', 'Anyinam', 'Ghana')",Non-Urban Town,Non-Urban,Town,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Randfontein', 'Randfontein', 'South Africa')",Urban Town,Urban,Town,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"('Sandema', 'Sandema', 'Ghana')",Non-Urban Village,Non-Urban,Village,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Asante Camp No.1', 'Mampong', 'Ghana')",Non-Urban Town,Non-Urban,Town,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Port Elizabeth', 'Port Elizabeth', 'South Africa')",Urban Town,Urban,Town,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"('Port Harcourt', 'Port Harcourt', 'Nigeria')",Urban Town,Urban,Town,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"('Porto-Novo', 'Cotonou', 'Benin')",Urban City,Urban,City,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"('Asaba', 'Asaba', 'Nigeria')",Urban Town,Urban,Town,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"('Ariaria', 'Aba', 'Nigeria')",Urban City,Urban,City,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"('Pumwani', 'Nairobi', 'Kenya')",Non-Urban City,Non-Urban,City,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Queenstown', 'Queenstown', 'South Africa')",Urban Village,Urban,Village,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('Qwaqwa', 'Qwaqwa', 'South Africa')",Urban Village,Urban,Village,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('Rabuor', 'Rabuor', 'Kenya')",Urban Village,Urban,Village,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"('Rafiki', ""Mkang'ombe"", 'Kenya')",Unclassified City,Unclassified,City,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"('Ramkonopi', 'Germiston', 'South Africa')",Urban City,Urban,City,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"('Saltpond', 'Saltpond', 'Ghana')",Urban Town,Urban,Town,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"('Feni', 'Dakunbrua Banglacesh', 'Bangladesh')",Unclassified City,Unclassified,City,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
