,Unnamed: 0,city_8,location,num_moves,dist,azimuth,lat,lon,location_pair,location_pair_id,locations,country,loc2,loc1,Q100_1,Q100_1_URX,Q100_1_URUN,Q100_1_URACMS,Q100_1_URXc,Non-Urban City,Non-Urban Town,Non-Urban Village,Unclassified City,Unclassified Town,Unclassified Village,Urban City,Urban Town,Urban Village
10,10,Nairobi,"('Bukavu', 'Bukavu', 'Democratic Republic of the Congo')",5,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Bukavu', 'Bukavu', 'Democratic Republic of the Congo'))",5,Nairobi,Democratic Republic of the Congo,Bukavu,Bukavu,"('Bukavu', 'Bukavu', 'Democratic Republic of the Congo')",Urban Village,Urban,Village,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0
11,11,Nairobi,"('Bukavu', 'Bukavu', 'Democratic Republic of the Congo')",5,903.9670414077232,-3.006390465001477,28.8336436,-2.51039075,"('Nairobi', ('Bukavu', 'Bukavu', 'Democratic Republic of the Congo'))",5,"('Bukavu', 'Bukavu', 'Democratic Republic of the Congo')",Democratic Republic of the Congo,Bukavu,Bukavu,"('Bukavu', 'Bukavu', 'Democratic Republic of the Congo')",Urban Village,Urban,Village,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0
12,12,Nairobi,"('Busia', 'Busia', 'Kenya')",5,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Busia', 'Busia', 'Kenya'))",6,Nairobi,Kenya,Busia,Busia,"('Busia', 'Busia', 'Kenya')",Urban Village,Urban,Village,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0
13,13,Nairobi,"('Busia', 'Busia', 'Kenya')",5,313.8751343304977,2.6361740317196785,34.26479520608315,0.3712048,"('Nairobi', ('Busia', 'Busia', 'Kenya'))",6,"('Busia', 'Busia', 'Kenya')",Kenya,Busia,Busia,"('Busia', 'Busia', 'Kenya')",Urban Village,Urban,Village,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0
14,14,Nairobi,"('Kakamega', 'Kakamega', 'Kenya')",5,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Kakamega', 'Kakamega', 'Kenya'))",7,Nairobi,Kenya,Kakamega,Kakamega,"('Kakamega', 'Kakamega', 'Kenya')",Urban Village,Urban,Village,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0
15,15,Nairobi,"('Kakamega', 'Kakamega', 'Kenya')",5,269.3386015035923,2.4945118495864844,34.80154886163461,0.4957104,"('Nairobi', ('Kakamega', 'Kakamega', 'Kenya'))",7,"('Kakamega', 'Kakamega', 'Kenya')",Kenya,Kakamega,Kakamega,"('Kakamega', 'Kakamega', 'Kenya')",Urban Village,Urban,Village,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0
16,16,Nairobi,"('Migori', 'Migori', 'Kenya')",5,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Migori', 'Migori', 'Kenya'))",8,Nairobi,Kenya,Migori,Migori,"('Migori', 'Migori', 'Kenya')",Non-Urban Village,Non-Urban,Village,9,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,Nairobi,"('Migori', 'Migori', 'Kenya')",5,271.9435161483056,3.0543637670520813,34.30964322421073,-1.0211616,"('Nairobi', ('Migori', 'Migori', 'Kenya'))",8,"('Migori', 'Migori', 'Kenya')",Kenya,Migori,Migori,"('Migori', 'Migori', 'Kenya')",Non-Urban Village,Non-Urban,Village,9,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,Nairobi,"('Minembwe', 'Minembwe', 'Democratic Republic of the Congo')",5,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Minembwe', 'Minembwe', 'Democratic Republic of the Congo'))",9,Nairobi,Democratic Republic of the Congo,Minembwe,Minembwe,"('Minembwe', 'Minembwe', 'Democratic Republic of the Congo')",Non-Urban Village,Non-Urban,Village,10,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,Nairobi,"('Minembwe', 'Minembwe', 'Democratic Republic of the Congo')",5,941.5691652102628,-2.860121255597132,28.7300599,-3.9344201,"('Nairobi', ('Minembwe', 'Minembwe', 'Democratic Republic of the Congo'))",9,"('Minembwe', 'Minembwe', 'Democratic Republic of the Congo')",Democratic Republic of the Congo,Minembwe,Minembwe,"('Minembwe', 'Minembwe', 'Democratic Republic of the Congo')",Non-Urban Village,Non-Urban,Village,10,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,Nairobi,"('Bujumbura', 'Bujumbura', 'Burundi')",4,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Bujumbura', 'Bujumbura', 'Burundi'))",10,Nairobi,Burundi,Bujumbura,Bujumbura,"('Bujumbura', 'Bujumbura', 'Burundi')",Urban Town,Urban,Town,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0
21,21,Nairobi,"('Bujumbura', 'Bujumbura', 'Burundi')",4,841.7131502148305,-2.8979959032040647,29.3675028,-3.3638125,"('Nairobi', ('Bujumbura', 'Bujumbura', 'Burundi'))",10,"('Bujumbura', 'Bujumbura', 'Burundi')",Burundi,Bujumbura,Bujumbura,"('Bujumbura', 'Bujumbura', 'Burundi')",Urban Town,Urban,Town,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0
22,22,Nairobi,"('Embu', 'Embu', 'Kenya')",4,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Embu', 'Embu', 'Kenya'))",11,Nairobi,Kenya,Embu,Embu,"('Embu', 'Embu', 'Kenya')",Non-Urban Village,Non-Urban,Village,3,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,Nairobi,"('Embu', 'Embu', 'Kenya')",4,120.9362831052233,0.5724891806314639,37.6652884382665,-0.5359479,"('Nairobi', ('Embu', 'Embu', 'Kenya'))",11,"('Embu', 'Embu', 'Kenya')",Kenya,Embu,Embu,"('Embu', 'Embu', 'Kenya')",Non-Urban Village,Non-Urban,Village,3,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,Nairobi,"('Homa Bay', 'Homa Bay', 'Kenya')",4,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Homa Bay', 'Homa Bay', 'Kenya'))",12,Nairobi,Kenya,Homa Bay,Homa Bay,"('Homa Bay', 'Homa Bay', 'Kenya')",Non-Urban Village,Non-Urban,Village,7,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,Nairobi,"('Homa Bay', 'Homa Bay', 'Kenya')",4,277.59287427028966,2.902348612376076,34.31878185590796,-0.56396015,"('Nairobi', ('Homa Bay', 'Homa Bay', 'Kenya'))",12,"('Homa Bay', 'Homa Bay', 'Kenya')",Kenya,Homa Bay,Homa Bay,"('Homa Bay', 'Homa Bay', 'Kenya')",Non-Urban Village,Non-Urban,Village,7,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26,Nairobi,"('Kitui', 'Kitui', 'Kenya')",4,0.01,0.0,36.820443,-1.292567,"('Nairobi', ('Kitui', 'Kitui', 'Kenya'))",13,Nairobi,Kenya,Kitui,Kitui,"('Kitui', 'Kitui', 'Kenya')",Non-Urban Village,Non-Urban,Village,11,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
