ID,originColor,9_lat,9_lon,9_location,100_lat,100_lon,100_location,202_lat,202_lon,202_location,202.1_lat,202.1_lon,202.1_location,202.2_lat,202.2_lon,202.2_location,202.3_lat,202.3_lon,202.3_location,202.4_lat,202.4_lon,202.4_location,206_lat,206_lon,206_location,211_lat,211_lon,211_location,214_lat,214_lon,214_location,215_lat,215_lon,215_location,nummoves200,moveCount,totalDist
277446,Burundi,36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",29.3675028,-3.3638125,"('Bujumbura', 'Bujumbura', 'Burundi')",17.3598045,-4.7644282,"('Katoi', 'Goma', 'Democratic Republic of the Congo')",36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,3,3526.047065
277459,Kenya,36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",34.269398,0.632706,"('Malaba', 'Malaba', 'Kenya')",36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,2,325.7221298
277462,Kenya,36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",37.6500021,-0.3332938,"('Chuka', 'Chuka', 'Kenya')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,130.3303175
277933,Ghana,-0.1677052,5.6864962,"('Madina', 'Accra', 'Ghana')",-0.1677052,5.6864962,"('Madina', 'Adenta', 'Ghana')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,0
278053,Ghana,-0.1677052,5.6864962,"('Madina', 'Accra', 'Ghana')",-0.1687965,5.7041391,"('Adenta', 'Adenta', 'Ghana')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1.965541901
278067,Ghana,-0.1677052,5.6864962,"('Madina', 'Accra', 'Ghana')",-0.1687965,5.7041391,"('Adenta', 'Accra', 'Ghana')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,1,1.965541901
278075,Kenya,36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",34.7541761,-0.1029109,"('Kisumu', 'Kisumu', 'Kenya')",36.751643,-1.2784631,"('Kawangware', 'Nairobi', 'Kenya')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,2,246.1346307
278076,Ghana,-0.1677052,5.6864962,"('Madina', 'Accra', 'Ghana')",-1.6894045,6.211542,"('Obuasi', 'Obuasi', 'Ghana')",-0.1687965,5.7041391,"('Adenta', 'Accra', 'Ghana')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,2,180.2115149
278077,Ghana,-0.1677052,5.6864962,"('Madina', 'Accra', 'Ghana')",-1.6230404,6.698081,"('Kumasi', 'Kumasi', 'Ghana')",-0.1687965,5.7041391,"('Adenta', 'Accra', 'Ghana')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,2,197.8218003
278081,Nigeria,-0.1677052,5.6864962,"('Madina', 'Accra', 'Ghana')",3.3941795,6.4550575,"('Lagos', 'Lagos', 'Nigeria')",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,405.1685938
