Q100,nearNeighbor,Q103,Q100a,neighborhood,city,lat,lon,UNWPP_joined,Count
Hamarwala,Pitseng,Lesotho,Village,Diepsloot,Johannesburg,28.204583,-28.999606,115,1
Harare,Glenview Anne,Zimbabwe,City,Katlehong,Johannesburg,31.045686,-17.831773,3201,1
Harare,Harare,Zimbabwe,City,Katlehong,Johannesburg,31.045686,-17.831773,3201,1
Harare,Harare,Zimbabwe,Town,Katlehong,Johannesburg,31.045686,-17.831773,3201,1
Harobanda In Niamey,Niamey,Niger,Village,James Town,Accra,2.109823,13.524834,3747,1
Haseqhatse,Maseru,Lesotho,Village,Diepsloot,Johannesburg,27.478222,-29.310054,1687,1
Hasundani,Thohoyandou,South Africa,Village,Berea,Johannesburg,30.4596582,-22.9676429,737,1
Have,Ho,Ghana,Town,Madina,Accra,0.3603165,6.757166,333,1
Hillbrow,Johannesburg,South Africa,Town,Berea,Johannesburg,28.0483333,-26.1880556,69320,1
Hillbrow Johannesburg,Hillbrow,South Africa,City,Berea,Johannesburg,28.0483333,-26.1880556,69320,1
Hlabisa,Hluhluwe,South Africa,Village,Katlehong,Johannesburg,31.875278,-28.145833,1048,1
Hlalanikahle,Witbank,South Africa,Town,Berea,Johannesburg,29.1225,-25.8486111,17917,1
Ho,Ho,Ghana,Town,Old Fadama,Accra,0.4688932,6.6126598,364,1
Hohoe,Ho,Ghana,Town,James Town,Accra,0.477735,7.153187,333,1
Hokwe,Shokwe,Mozambique,Village,Diepsloot,Johannesburg,33.1730448,-24.6870907,152,1
Homa Bay,Homabay,Kenya,Town,Kayole,Nairobi,34.31878186,-0.56396015,184,1
Honeydew,Johannesburg,South Africa,Town,Diepsloot,Johannesburg,27.9253018,-26.07883895,1662,1
Hosana,Addis Ababa,Ethiopia,Town,Katlehong,Johannesburg,38.7612525,9.0107934,21068,1
Hossana,Awasa,Ethiopia,Town,Diepsloot,Johannesburg,38.47861,7.0481029,2187,1
Huwana,Plumtree,Zimbabwe,Village,Diepsloot,Johannesburg,27.805601,-20.4880677,88,1
Iani,Kyua,Kenya,Village,Ongata Rongai,Nairobi,37.7607247,-1.4065565,99,1
Ibadan,Makola,Nigeria,City,Madina,Accra,3.8972497,7.3777462,8203,1
Ibafo,Ikorodu,Nigeria,Town,Old Fadama,Accra,3.421874,6.7424415,252,1
Iddi Lolla,Moyale,Ethiopia,Village,Kawangware,Nairobi,39.05841843,3.51590545,4231,1
Igbesa,Agbara,Nigeria,Village,Old Fadama,Accra,3.1365,6.5305,868,1
Igbo Ukwu,Agbani,Nigeria,Village,Old Fadama,Accra,7.551934,6.3079035,748,1
Igembe,Meru Town,Kenya,Village,Ongata Rongai,Nairobi,37.653685,0.0416472,3878,1
Ijegun,Lagos,Nigeria,Town,Old Fadama,Accra,3.254866,6.516155,3118,1
Ikeja,Lagos,Nigeria,Town,James Town,Accra,3.353204074,6.6048591,10662,1
Ikeja,Lagos,Nigeria,Town,Old Fadama,Accra,3.353204074,6.6048591,10662,2
Ikorodu,Lagos,Nigeria,Town,James Town,Accra,3.5041271,6.6191233,2151,1
Ikorodu,Ogun State,Nigeria,Town,James Town,Accra,3.5041271,6.6191233,2151,1
Ikotun,Ikotun,Nigeria,City,Madina,Accra,3.0884469,6.4516092,3587,1
Ikutha,Kitui,Kenya,Village,Kayole,Nairobi,38.37281165,-1.56422195,63,1
Ilorin,Chief Palace,Nigeria,City,James Town,Accra,4.5480484,8.4963657,5414,1
Ingudle,Inkandla,South Africa,Village,Katlehong,Johannesburg,31.090556,-28.62,653,1
Irundu,Minembwe,Democratic Republic Of Congo,Village,Ongata Rongai,Nairobi,28.7476099,-3.9066899,#N/A,1
Irundu,Minembwe,Democratic Republic Of The Congo,Village,Ongata Rongai,Nairobi,28.7300599,-3.9344201,45,1
Isandlwana,Inquthu,South Africa,Village,Katlehong,Johannesburg,30.6529494,-28.3541707,9,1
Isinya,Kajiado,Kenya,Village,Kawangware,Nairobi,36.8466684,-1.6859676,98,1
Isinya,Kajiado,Kenya,Village,Ongata Rongai,Nairobi,36.8466684,-1.6859676,98,1
Ithanga,Kiambu,Kenya,Village,Ongata Rongai,Nairobi,36.8156867,-1.03207695,509,1
Ithanga,Machakos,Kenya,Village,Ongata Rongai,Nairobi,36.8156867,-1.03207695,509,1
Itumbu,Eldoret,Kenya,Town,Kawangware,Nairobi,35.2715481,0.5198329,3524,1
Iyala,Anambra,Nigeria,Town,Madina,Accra,6.9531842,6.2183136,2184,1
James Town,Accra,Ghana,Town,James Town,Accra,-0.2103637,5.5357966,14940,6
James Town,Accra 3,Ghana,Town,James Town,Accra,-0.2103637,5.5357966,14940,1
Jamestown,Accra,Ghana,Town,James Town,Accra,-0.2103637,5.5357966,14940,5
Jamestown,Asene Kotopong,Ghana,City,James Town,Accra,-0.2103637,5.5357966,14940,1
Jamestown,Jamestown Asene,Ghana,City,James Town,Accra,-0.2103637,5.5357966,14940,1
Jamestown,Korle Gonno,Ghana,Town,James Town,Accra,-0.2103637,5.5357966,14940,1
Jamestown,London Market,Ghana,City,James Town,Accra,-0.2103637,5.5357966,14940,2
Jamestown,Palladium,Ghana,City,James Town,Accra,-0.2103637,5.5357966,14940,1
Jamestown,Sempe,Ghana,City,James Town,Accra,-0.2103637,5.5357966,14940,1
Jamestown Accra,Ashabiena,Ghana,City,James Town,Accra,-0.2012376,5.5571096,14940,1
Jamestown Asene Kotopong,Jamestown,Ghana,City,James Town,Accra,-0.2103637,5.5357966,14940,1
Jane Furse,Hleswaneng,South Africa,City,Diepsloot,Johannesburg,29.86487449,-24.7654184,764,1
Jangbe,Bimbila,Ghana,Village,James Town,Accra,0.0445459,8.8707574,72,1
Jija Kona,Kakamega,Kenya,Village,Kawangware,Nairobi,34.80154886,0.4957104,509,1
Jirapa,Lawra,Ghana,Village,Old Fadama,Accra,-2.7008646,10.5366328,88,1
Johannesburg,Blirgowrie Randburg,South Africa,City,Berea,Johannesburg,28.049722,-26.205,24049,1
Johannesburg,Johannesburg,South Africa,City,Berea,Johannesburg,28.049722,-26.205,24049,1
Johannesburg,Katlehong,South Africa,City,Katlehong,Johannesburg,28.049722,-26.205,24049,1
Johannesburg,Thokoza,South Africa,City,Katlehong,Johannesburg,28.049722,-26.205,24049,1
Kabingo,Fizi,Democratic Republic Of The Congo,Village,Kayole,Nairobi,28.7037202,-3.99106,46,1
Kabingo,Minembwe,Kenya,Village,Ongata Rongai,Nairobi,28.7037202,-3.99106,5332,1
Kabondo Kasipul,Oyugis,Kenya,Village,Kawangware,Nairobi,34.734576,-0.509908,1666,1
Kabwe,Lusaka,Zambia,Village,Berea,Johannesburg,28.4465166,-14.4434056,398,1
Kaduna,Abuja,Nigeria,City,Madina,Accra,7.8533226,10.3825318,71,1
Kafubu,Lubumbashi,Democratic Republic Of The Congo,Village,Berea,Johannesburg,27.50292515,-11.69728235,4002,1
Kagaa,Githunguri,Kenya,Village,Ongata Rongai,Nairobi,37.4833,-0.3666,597,1
Kagan,Homabay,Kenya,Village,Kayole,Nairobi,34.31878186,-0.56396015,184,1
Kahoho,Uvira,Democratic Republic Of The Congo,Village,Ongata Rongai,Nairobi,29.00714089,-3.1982504,202,1
Kahololo,Uvira,Democratic Republic Of The Congo,Village,Ongata Rongai,Nairobi,28.57207,-3.14078,45,2
Kai,Machakos,Kenya,Village,Kawangware,Nairobi,37.39526976,-1.27900465,112,1
Kaiti,Wote,Kenya,Town,Ongata Rongai,Nairobi,37.6234082,-1.7722223,274,2
Kajimbo,Katito,Kenya,Village,Kawangware,Nairobi,34.97472207,-0.2713532,712,1
Kajulu,Kisumu,Kenya,Village,Kawangware,Nairobi,36.7835227,-1.3147454,61693,3
Kajulu,Kisumu,Kenya,Village,Kayole,Nairobi,36.7835227,-1.3147454,61693,2
Kakangata,Minembwe,Democratic Republic Of The Congo,Village,Ongata Rongai,Nairobi,28.8336436,-2.51039075,13044,1
Kakenge,Minembwe,Democratic Republic Of Congo,Village,Ongata Rongai,Nairobi,28.7300599,-3.9344201,#N/A,1
Kakenge,Minembwe,Democratic Republic Of The Congo,Village,Ongata Rongai,Nairobi,28.7300599,-3.9344201,45,1
Kakuyuni,Machakos,Kenya,Village,Kayole,Nairobi,37.39526976,-1.27900465,246,1
Kakuyuni-Machakos,Machakos,Kenya,Village,Kawangware,Nairobi,37.39526976,-1.27900465,536,1
Kalii,Makindu,Kenya,Village,Kayole,Nairobi,37.7666,-2.1,66,1
Kamagambo,Siaya Town,Kenya,Village,Ongata Rongai,Nairobi,37.1616545,-1.0729175,1268,1
Kamakwa,Nyeri,Kenya,Town,Kawangware,Nairobi,36.9517005,-0.4192962,4286,1
Kamaphophe,Malamulele,South Africa,Village,Katlehong,Johannesburg,30.6984545,-23.0037093,1187,1
Kamenya,Kisumu,Kenya,Town,Kayole,Nairobi,34.7541761,-0.1029109,1919,1
Kampala,Kampala,Uganda,City,Kawangware,Nairobi,32.5813539,0.3177137,6396,1
Kampala,Kampala,Uganda,Village,Kawangware,Nairobi,32.5813539,0.3177137,6396,1
Kamsaoghi,Ouagadougou,Burkina Faso,Town,James Town,Accra,-1.5270944,12.3681873,6674,1
Kamsero,Homabay,Kenya,Village,Ongata Rongai,Nairobi,34.31878186,-0.56396015,184,1
Kamuri,Kampala,Uganda,Town,Kawangware,Nairobi,30.1486824,-0.7463199,471,1
Kandara,Murang'A,Kenya,Village,Kayole,Nairobi,37.00486125,-0.83091505,#N/A,2
Kandi,Port-Novo,Benin,Town,James Town,Accra,3.046420882,11.2849785,71,1
Kangaita,Kerugoya,Kenya,Village,Kayole,Nairobi,37.278584,-0.49633,930,1
Kangema,Muranga,Kenya,Town,Kayole,Nairobi,36.9642477,-0.6847865,966,1
Kangundo,Machakos,Kenya,Village,Ongata Rongai,Nairobi,37.3472931,-1.3033777,1044,1
Kanja,Sandema,Ghana,Village,Old Fadama,Accra,-1.371164,10.511345,51,1
Kanono,Uvira,Democratic Republic Of The Congo,Village,Ongata Rongai,Nairobi,28.96211498,-3.59465425,202,1
Kanorero,Murunga,Kenya,Town,Kayole,Nairobi,37.1575858,-0.7236564,1455,1
Kanyaduera,Kisumu,Kenya,Village,Kayole,Nairobi,34.7541761,-0.1029109,1919,1
Kanyamedha,Kisumu,Kenya,Village,Kawangware,Nairobi,34.7541761,-0.1029109,1919,1
Kanyamkago,Migori,Kenya,Village,Ongata Rongai,Nairobi,34.30964322,-1.0211616,262,1
Kanyidoto,Homabay,Kenya,Village,Kawangware,Nairobi,34.31878186,-0.56396015,184,1
Kapiyo,Kisumu,Kenya,Village,Kayole,Nairobi,34.7541761,-0.1029109,155,1
Kapkenigi,Kapsabet,Kenya,Village,Kawangware,Nairobi,35.1011501,0.2004978,1852,1
Kapsabet,Kakamenga,Kenya,Town,Kawangware,Nairobi,35.1011501,0.2004978,1852,1
Kapsaret,Eldoret,Kenya,Village,Kayole,Nairobi,35.2715481,0.5198329,222,1
Karabuor,Kisumu,Kenya,Village,Kayole,Nairobi,34.7541761,-0.1029109,1919,1
Karateng Village,Kisumu,Kenya,Village,Kawangware,Nairobi,34.7541761,-0.1029109,1919,1
Karatina- Nyeri,Nyeri,Kenya,Village,Kawangware,Nairobi,36.9517005,-0.4192962,4286,1
Karinde,Kiambu,Kenya,Village,Ongata Rongai,Nairobi,36.8156867,-1.03207695,562,1
Karinga,Murang'A Town,Kenya,Village,Ongata Rongai,Nairobi,37.1575858,-0.7236564,#N/A,1
Karungu,Migori,Kenya,Village,Ongata Rongai,Nairobi,34.30964322,-1.0211616,262,1
Kasanda,Kampala,Uganda,Town,Kawangware,Nairobi,32.5813539,0.3177137,6396,1
Kashasha,Minembwe,Democratic Republic Of Congo,Village,Ongata Rongai,Nairobi,28.7300599,-3.9344201,#N/A,1
Kasipul,Oyugis,Kenya,Village,Kawangware,Nairobi,34.734576,-0.509908,1666,1
Kassena,Paga,Ghana,Village,Old Fadama,Accra,-1.315720947,10.87317545,99,1
Kasulu,Kigoma,Tanzania,Village,Kayole,Nairobi,30.0050533,-4.5126571,125,1
Katheka Kai,Machakos,Kenya,Village,Ongata Rongai,Nairobi,37.39526976,-1.27900465,536,1
Kathiani,Machakos,Kenya,Village,Kawangware,Nairobi,37.3466922,-1.3970473,506,1
Katitu,Kilome,Kenya,Village,Ongata Rongai,Nairobi,37.3333,-1.8,325,1
Katlehogo,Sakele,South Africa,City,Katlehong,Johannesburg,28.151111,-26.338611,11586,1
Katlehong,Alberton,South Africa,Town,Diepsloot,Johannesburg,28.151111,-26.338611,11586,1
Katlehong,Alberton,South Africa,Town,Katlehong,Johannesburg,28.151111,-26.338611,11586,2
Katlehong,Alberton,South Africa,Village,Katlehong,Johannesburg,28.151111,-26.338611,11586,1
Katlehong,Germiston,South Africa,City,Katlehong,Johannesburg,28.151111,-26.338611,11586,2
Katlehong,Germiston,South Africa,Town,Katlehong,Johannesburg,28.151111,-26.338611,11586,9
Katlehong,Katlehong,South Africa,City,Katlehong,Johannesburg,28.151111,-26.338611,11586,9
Katlehong,Katlehong(Germiston),South Africa,City,Katlehong,Johannesburg,28.151111,-26.338611,11586,1
Katlehong,Sakhile,South Africa,City,Katlehong,Johannesburg,28.151111,-26.338611,11586,1
Katlehong Sakhile Section,Alberton,South Africa,Town,Katlehong,Johannesburg,28.1270777,-26.2529561,4332,1
Kawango,Kisumu,Kenya,Town,Kawangware,Nairobi,34.7541761,-0.1029109,1919,1
Kawango,Kisumu,Kenya,Village,Kawangware,Nairobi,34.7541761,-0.1029109,1919,2
Kawangware,Kawangware,Kenya,City,Kawangware,Nairobi,36.751643,-1.2784631,42274,1
Kawangware,Nairobi,Kenya,Town,Kawangware,Nairobi,36.751643,-1.2784631,42274,10
Kawangware,Nairobi,Kenya,Village,Kawangware,Nairobi,36.751643,-1.2784631,42274,1
Kawangware,Nairobi,Rwanda,Town,Kawangware,Nairobi,36.751643,-1.2784631,#N/A,1
Kawangware,Nairobi,South Sudan,Town,Kawangware,Nairobi,36.751643,-1.2784631,#N/A,1
Kawangware Muslim,Nairobi,Kenya,Town,Kawangware,Nairobi,36.8172449,-1.2832533,5332,1
Kawangware Muslim,Nairobi,Kenya,Village,Kawangware,Nairobi,36.8172449,-1.2832533,5332,1
Kayole,-3,Kenya,City,Kayole,Nairobi,36.9169455,-1.2659842,67904,1
Kayole,Kayole,Kenya,City,Kayole,Nairobi,36.9169455,-1.2659842,67904,1
Kayole,Maza,Kenya,Town,Kayole,Nairobi,36.9169455,-1.2659842,67904,1
Kayole,Nairobi,Kenya,Town,Kayole,Nairobi,36.9169455,-1.2659842,67904,5
Kebirigo,Nyamira,Kenya,Village,Ongata Rongai,Nairobi,34.962309,-0.601181,1215,1
Kegae,Lome,Togo,Town,James Town,Accra,1.215829,6.130419,9954,1
Kegogi,Kisii,Kenya,Village,Kayole,Nairobi,34.83821631,-0.5354487,1221,1
Kehancha,Migori,Kenya,Town,Kayole,Nairobi,34.30964322,-1.0211616,262,1
Kenol,Murang'A,Kenya,Village,Kayole,Nairobi,37.1227711,-0.9392976,825,1
Keroka,Kisii,Kenya,Town,Kayole,Nairobi,34.9472145,-0.7781996,1513,1
Keroka,Kisii,Kenya,Village,Kayole,Nairobi,34.9472145,-0.7781996,1513,1
Keroka,Nyamira,Kenya,Town,Kawangware,Nairobi,34.9472145,-0.7781996,1513,1
Keroka,Nyamira,Kenya,Town,Ongata Rongai,Nairobi,34.9472145,-0.7781996,1513,1
Kerugoya,Kerugoya,Kenya,Town,Kawangware,Nairobi,37.278584,-0.49633,1980,1
Kete Krachi,Kpandai,Ghana,Town,Old Fadama,Accra,-0.04914,7.798442,101,2
Kete-Krachi,Abujuro,Ghana,Town,Madina,Accra,-0.0017091,7.8776241,101,1
Kgamashabela Village,Limpopo,South Africa,Village,Katlehong,Johannesburg,29.3959199,-23.4735288,1,1
Khachenga,Beraka,Malawi,Village,Berea,Johannesburg,35.05315979,-15.04847375,220,1
Khartoum,Al Diyum East,Sudan,City,Kawangware,Nairobi,32.5349123,15.5635972,5979,1
Khayelitsha,Cape Town,South Africa,Town,Berea,Johannesburg,18.6674201,-34.0405905,9222,1
Kiamokama,Kisii,Kenya,Village,Ongata Rongai,Nairobi,34.75398551,-0.73894255,1137,1
Kiangeni,Ekalakala,Kenya,Village,Kayole,Nairobi,37.5079197,-1.0260966,164,1
Kianjae,Meru,Kenya,Village,Ongata Rongai,Nairobi,37.6500063,0.0499786,4616,1
Kibaya,Kibongo,Rwanda,Village,Kayole,Nairobi,30.5627157,-2.1999121,520,1
Kibera,Nairobi,Kenya,Town,Ongata Rongai,Nairobi,35.54610234,-0.86084755,631,1
Kibeta,Bukoba,Tanzania,Town,Kawangware,Nairobi,31.80519285,-1.32416585,2071,1
Kibichiku-Kiambu,Kiambu,Kenya,Village,Kayole,Nairobi,36.8156867,-1.03207695,829,1
Kibra,Nairobi,Kenya,Town,Kawangware,Nairobi,36.8172449,-1.2832533,5332,1
Kibwezi,Makueni,Kenya,Village,Kayole,Nairobi,37.965529,-2.410343,195,1
Kidwesu,Bulambuli,Uganda,Village,Kawangware,Nairobi,34.28037988,1.35811175,585,1
Kigali,Kigali,Rwanda,Town,Kayole,Nairobi,30.061507,-1.950851,3580,1
Kiharu,Kakamega,Kenya,Village,Kayole,Nairobi,34.80154886,0.4957104,509,1
Kihila,Kakamega,Kenya,Village,Kawangware,Nairobi,34.80154886,0.4957104,509,1
Kihuha,Uvira,Democratic Republic Of The Congo,Village,Kayole,Nairobi,29.00714089,-3.1982504,202,1
Kihuha,Uvira,Democratic Republic Of The Congo,Village,Ongata Rongai,Nairobi,29.00714089,-3.1982504,202,1
Kikuyu,Nairobi,Kenya,Village,Kawangware,Nairobi,36.6645832,-1.2438971,1299,1
Kikwa,Kitui,Kenya,Village,Ongata Rongai,Nairobi,38.37281165,-1.56422195,10,1
Kilgoris,Kilgoris,Kenya,Town,Kayole,Nairobi,34.88001,-1.008391,354,1
Kimbimbi,Kirinyaga,Kenya,Village,Kayole,Nairobi,37.3666,-0.6166,547,1
Kimilili,Bungoma,Kenya,Village,Kayole,Nairobi,34.7166,0.7833,1923,1
Kinsasha,Congo,Democratic Republic Of The Congo,City,Kayole,Nairobi,15.6419155,-0.7264327,18,1
Kinshasa,Kinshasa,Congo-Brazzaville,City,Berea,Johannesburg,15.3125974,-4.3217055,#N/A,1
Kinshasa,Kinshasa,Democratic Republic Of The Congo,City,Berea,Johannesburg,15.3125974,-4.3217055,44622,1
Kinshasa,Kinshasa,Democratic Republic Of The Congo,City,Kayole,Nairobi,15.3125974,-4.3217055,44622,1
Kintampo,Techiman,Ghana,Town,Old Fadama,Accra,-1.728919,8.053714,22,1
Kipsongo,Kitale,Kenya,Village,Ongata Rongai,Nairobi,35.000236,1.018076,1993,1
Kiremba,Ngozi,Burundi,Village,Kayole,Nairobi,30.02360729,-2.8296063,549,2
Kiriaini,Muranga,Kenya,Town,Ongata Rongai,Nairobi,37.1575858,-0.7236564,1455,1
Kiriani,Murunga,Kenya,Town,Kayole,Nairobi,37.1591649,-0.7205744,1628,1
Kisangani,Makiso,Democratic Republic Of The Congo,City,Berea,Johannesburg,25.2057292,0.5184021,366,1
Kisangani,Ubundu,Democratic Republic Of The Congo,Town,Berea,Johannesburg,25.2057292,0.5184021,366,1
Kisasi,Kitui,Kenya,Village,Ongata Rongai,Nairobi,38.0317565,-1.5041167,223,1
Kisau,Tawa,Kenya,Village,Kayole,Nairobi,37.4666,-1.55,347,1
Kisauni,Mombasa,Kenya,Village,Kawangware,Nairobi,39.6823544,-4.0259925,10286,1
Kiserian,Nairobi,Kenya,Town,Ongata Rongai,Nairobi,36.6867562,-1.4303485,1797,1
Kishigo,Minembwe,Democratic Republic Of Congo,Village,Ongata Rongai,Nairobi,28.7300599,-3.9344201,#N/A,1
Kisii,Keroka,Kenya,City,Kawangware,Nairobi,34.75398551,-0.73894255,1084,1
Kisii,Kisii,Kenya,Town,Ongata Rongai,Nairobi,34.75398551,-0.73894255,1084,1
Kisii,Nyamira,Kenya,Village,Kawangware,Nairobi,34.75398551,-0.73894255,1084,1
Kisumu,-3,Kenya,City,Kayole,Nairobi,34.7541761,-0.1029109,1919,1
Kitale,Kakamenga,Kenya,City,Kawangware,Nairobi,35.000236,1.018076,1993,1
Kitale,Transzoia,Kenya,Village,Ongata Rongai,Nairobi,35.000236,1.018076,1993,1
Kitavi,Uvira,Democratic Republic Of The Congo,Village,Kayole,Nairobi,28.7465602,-3.88633,45,1
Kiteta,Masii,Kenya,Village,Ongata Rongai,Nairobi,37.5174943,-1.4999764,231,1
Kithimani,Machakos,Kenya,Town,Ongata Rongai,Nairobi,37.39526976,-1.27900465,310,1
Kithyoko,Kitui,Kenya,Village,Kayole,Nairobi,38.37281165,-1.56422195,10,1
Kitoo,Kitui,Kenya,Village,Kawangware,Nairobi,38.37281165,-1.56422195,10,2
Kitui,Kitui,Kenya,Village,Kawangware,Nairobi,38.37281165,-1.56422195,10,1
Kizi,Mwaro,Burundi,Village,Kayole,Nairobi,29.6708508,-3.4650043,413,1
Klefe,Ho,Ghana,Village,Madina,Accra,0.4688932,6.6126598,364,1
Klerksdorp,Klerksdorp,South Africa,Village,Berea,Johannesburg,26.6656814,-26.8625383,1130,1
Kliptown,Johannesburg,South Africa,Town,Berea,Johannesburg,27.8877497,-26.2726495,9372,1
Kluto,Lome,Togo,Town,Madina,Accra,-0.7550653,5.4138108,9954,1
Kobura,Kisumu,Kenya,Village,Kayole,Nairobi,34.7541761,-0.1029109,1919,1
Koforidua,Betomo,Ghana,City,Madina,Accra,-0.2614572,6.100334,1506,1
Koforidua,Old Estate,Ghana,City,Madina,Accra,-0.2614572,6.100334,1506,1
Koguta,Kisumu,Kenya,Village,Ongata Rongai,Nairobi,34.4417631,-0.807114,299,2
Koinet,Naivasha,Kenya,Village,Ongata Rongai,Nairobi,36.4387834,-0.7224425,1586,1
Kojokrom,Takoradi,Ghana,Town,James Town,Accra,-1.7247129,4.9635722,4328,1
Kokal,Oyugis,Kenya,Village,Kawangware,Nairobi,34.734576,-0.509908,1666,1
Kola,Wote,Kenya,Town,Kayole,Nairobi,37.3499753,-1.7003571,310,1
Kollo,Niamey,Niger,Town,James Town,Accra,2.316011,13.340935,68,1
Kollo,Niamey,Niger,Town,Old Fadama,Accra,2.316011,13.340935,68,1
Kombedu,Kisumu,Kenya,Village,Ongata Rongai,Nairobi,34.7464408,-0.0797453,1610,1
Kombewa,Kisumu,Kenya,Village,Kawangware,Nairobi,34.5255927,-0.108982,408,1
Kombewa,Kisumu,Kenya,Village,Kayole,Nairobi,34.5255927,-0.108982,408,1
Kombungo,Tamale,Ghana,Village,Old Fadama,Accra,-0.8423986,9.4051992,544,1
Kondele,Kisumu,Kenya,Town,Kayole,Nairobi,34.773786,-0.084418,16436,1
Kongasis,Nakuru,Kenya,Village,Ongata Rongai,Nairobi,36.0712048,-0.2802724,1345,1
Kongou,Niamey,Niger,Town,Old Fadama,Accra,2.368881324,13.24374695,67,1
Korowe,Ahero,Kenya,Village,Kayole,Nairobi,34.919004,-0.172399,598,1
Korsile,Niamey,Niger,Town,James Town,Accra,2.109823,13.524834,3747,1
Koruwenje,Kisumu,Kenya,Village,Ongata Rongai,Nairobi,34.7541761,-0.1029109,1919,1
Kosse,Hossana,Ethiopia,Village,Diepsloot,Johannesburg,37.8528153,7.5501651,2683,1
Kothidha,Homabay,Kenya,Village,Kayole,Nairobi,34.31878186,-0.56396015,184,1
Kotieno,Kisumu,Kenya,Village,Ongata Rongai,Nairobi,34.6412674,-0.5405862,388,1
Koudougou,Poa,Burkina Faso,Town,Old Fadama,Accra,-2.3657338,12.2503992,286,1
Koulouba,Ouagadougou,Burkina Faso,Town,James Town,Accra,-1.510059497,12.36518255,6674,1
Koulouba,Ouagadougou,Burkina Faso,Town,Old Fadama,Accra,-1.510059497,12.36518255,6674,1
Kpalime,Kpalime,Togo,City,Old Fadama,Accra,0.6323982,6.9106565,317,2
Kpalime,Lome,Togo,Town,Madina,Accra,0.6323982,6.9106565,317,1
Kpalime,Lome,Togo,Village,Madina,Accra,0.6323982,6.9106565,317,1
Kpalungu,Bolgatanga,Ghana,Village,Madina,Accra,-0.8487322,10.7853963,295,1
Kpando,Hohoe,Ghana,Town,James Town,Accra,0.2934791,6.9974727,222,1
Kpando,Hohoe,Ghana,Town,Old Fadama,Accra,0.2934791,6.9974727,222,1
Kpasa,Nkwanta,Ghana,Village,Old Fadama,Accra,0.52143,8.262696,50,1
Kpowelin,Ziohn Town,Liberia,Town,James Town,Accra,-8.1342735,6.068724,37,1
Kraboa Coaltar,Nsawam,Ghana,Town,Madina,Accra,-0.345786,5.814382,298,1
Kripan,Mafikeng,South Africa,Village,Diepsloot,Johannesburg,25.658611,-25.863611,1963,1
Kristalspruit,Amsterdam,South Africa,Village,Katlehong,Johannesburg,30.666389,-26.626667,561,1
Krobo Odumase,Somanya,Ghana,Town,James Town,Accra,-0.01483,6.104821,154,1
Krone On Sea,Tema,Ghana,Town,James Town,Accra,-0.0096592,5.6596441,2365,1
Kubur William,Rumbek(Lake State),South Sudan,Village,Kawangware,Nairobi,29.6767488,6.8063901,43,1
Kugihuha,Kichasa,Democratic Republic Of The Congo,Village,Kayole,Nairobi,15.3125974,-4.3217055,44622,1
Kuje,Abuja,Nigeria,Town,Old Fadama,Accra,7.2272022,8.8796312,1616,1
Kumasi,Atonsu,Ghana,City,Old Fadama,Accra,-1.6230404,6.698081,13614,1
Kumasi,Konongo,Ghana,City,Madina,Accra,-1.6230404,6.698081,13614,1
Kumba,Victoria,Cameroon,City,Berea,Johannesburg,9.414413491,4.60267705,167,1
Kuna,Kumasi,Ghana,Village,James Town,Accra,-1.6230404,6.698081,13614,1
Kutus,Kirinyanga,Kenya,Village,Ongata Rongai,Nairobi,37.32785,-0.5730989,672,1
Kwahu Abetifi,Nkawkaw,Ghana,Town,Madina,Accra,-0.769811,6.552795,215,1
Kwahu Mpraeso,Nkawkaw,Ghana,Town,James Town,Accra,-0.769811,6.552795,215,1
Kwamaiko,Embu,Kenya,Village,Ongata Rongai,Nairobi,37.66528844,-0.5359479,179,1
Kwamashu,Durban,South Africa,Town,Berea,Johannesburg,30.962222,-29.741389,4435,1
Kwamawanda,Melmot,South Africa,Village,Diepsloot,Johannesburg,28.049722,-26.205,24049,1
Kwamekrom,Kpando,Ghana,Town,Madina,Accra,-2.3028927,6.4217821,164,1
Kwamhlanga,Mamelodi,South Africa,City,Diepsloot,Johannesburg,28.7045271,-25.4262165,1239,1
Kwamo,Ejisu,Ghana,Village,James Town,Accra,-1.5009105,6.7163307,330,1
Kwandebele,Kwamhlanga,South Africa,Village,Berea,Johannesburg,29.07408553,-25.13235475,207,1
Kwanza,Kitale,Kenya,Town,Kawangware,Nairobi,35.00042518,1.1638854,607,1
Kwasimetem,Takoradi,Ghana,Town,Old Fadama,Accra,-1.7519316,4.887401,4328,1
Kwekwe,Kwekwe,Zimbabwe,Town,Berea,Johannesburg,29.8140035,-18.9284366,1509,1
Kyevie,Lomi,Togo,Town,Madina,Accra,1.215829,6.130419,9954,1
La,La,Ghana,City,Madina,Accra,-0.1576413,5.5602324,14940,1
La Nkwatanan Medina,Accra,Ghana,Town,Madina,Accra,-0.2012376,5.5571096,14940,1
Labadi,Labadi,Ghana,City,Madina,Accra,-0.1576413,5.5602324,14940,1
Ladysmith,Durban,South Africa,Town,Berea,Johannesburg,29.778333,-28.551944,1317,1
Ladysmith,Ladysmith,South Africa,Town,Berea,Johannesburg,29.778333,-28.551944,1317,1
Ladyvree,Queestown,South Africa,Town,Diepsloot,Johannesburg,26.8776814,-31.892843,2266,1
Lagos,Ebute Metta,Nigeria,City,Old Fadama,Accra,3.3941795,6.4550575,7403,1
