Q100,nearNeighbor,Q103,Q100a,neighborhood,city,lat,lon,UNWPP_joined,Count
Boeri,Nyamira,Kenya,Village,Ongata Rongai,Nairobi,34.9341308,-0.65225405,1075,1
Bokisi,Makhado,South Africa,Village,Diepsloot,Johannesburg,30.1013299,-23.2004918,1438,1
Bole,Sawla,Ghana,Town,Old Fadama,Accra,-2.4895105,9.0324846,14,1
Bole,Tamale,Ghana,Town,Old Fadama,Accra,-2.4895105,9.0324846,14,2
Bololo,Voi,Kenya,Village,Kayole,Nairobi,38.584327,-3.3976842,339,1
Boma,Kinshasa,Congo-Brazzaville,Village,Kayole,Nairobi,13.03083242,-5.76289415,#N/A,1
Bomachoge,Kisii,Kenya,Village,Kawangware,Nairobi,34.75398551,-0.73894255,1084,1
Bomasop,Mbale,Uganda,Village,Kawangware,Nairobi,38.3802196,-3.4002674,#N/A,1
Bombolulu,Bombolulu,Kenya,City,Kayole,Nairobi,39.696073,-4.026789,8154,1
Bombora,Banfora,Burkina Faso,Town,James Town,Accra,-4.752639,10.642703,165,1
Bonentia,Kisii,Kenya,Village,Ongata Rongai,Nairobi,34.75398551,-0.73894255,1084,1
Bongo,Bolgatanga,Ghana,Town,Old Fadama,Accra,-0.8075062,10.9090802,219,1
Born Here At Katlehong,Sakhile,South Africa,City,Katlehong,Johannesburg,29.21,-26.965,3146,1
Botokwa,Polokwane,South Africa,Village,Diepsloot,Johannesburg,29.4613889,-23.9058333,3273,1
Bouza,Tahoua,Niger,Village,Old Fadama,Accra,6.043656,14.423489,172,1
Bowani,Bowani,Mozambique,City,Katlehong,Johannesburg,32.56745,-25.966213,7767,1
Braamfisher,Johannesburg,South Africa,Town,Berea,Johannesburg,28.049722,-26.205,24049,1
Brazzaville,Brazzaville,Democratic Republic Of The Congo,City,Berea,Johannesburg,15.2712256,-4.2694407,#N/A,1
Brinaberck,Maphisa,Zimbabwe,Town,Diepsloot,Johannesburg,28.457861,-21.066018,16,1
Bryston,Randburg,South Africa,Town,Diepsloot,Johannesburg,27.975,-26.096111,2460,1
Bududa,Mbale,Uganda,Town,Kawangware,Nairobi,34.39875494,1.042117,780,1
Bujumbura,Bujumbura,Burundi,Town,Kawangware,Nairobi,29.3675028,-3.3638125,9777,4
Bujumbura,Bujumbura,Burundi,Town,Ongata Rongai,Nairobi,29.3675028,-3.3638125,9777,1
Bujumbura,Bujumbura,Burundi,Village,Kayole,Nairobi,29.3675028,-3.3638125,9777,1
Bujumbura,Bukirasazi,Burundi,Town,Kayole,Nairobi,29.3675028,-3.3638125,9777,1
Bukani,Busia,Kenya,Village,Kayole,Nairobi,34.26479521,0.3712048,6754,1
Bukasa,Kakamega,Kenya,Village,Kawangware,Nairobi,34.80154886,0.4957104,509,1
Bukavu,Kinshasa,Democratic Republic Of The Congo,Town,Kayole,Nairobi,28.8336436,-2.51039075,13044,1
Bukavu,Kinshasa,Democratic Republic Of The Congo,Village,Kawangware,Nairobi,28.8336436,-2.51039075,13044,1
Bukiri,Jinja,Uganda,Village,Kawangware,Nairobi,33.22481686,0.5465468,691,1
Bulawayo,Bulawayo,Zimbabwe,Town,Berea,Johannesburg,28.5887063,-20.1560599,1683,4
